level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	348	179	-1	
2	1	1	0	0	0	43	34	261	111	-1	
3	1	1	1	0	0	43	34	261	111	-1	
4	1	1	1	1	0	45	34	259	25	-1	
5	1	1	1	1	1	45	34	76	25	96.690033	Date:
5	1	1	1	1	2	133	34	171	25	96.616302	2026-05-22
4	1	1	1	2	0	43	77	196	25	-1	
5	1	1	1	2	1	43	77	82	25	96.143265	Total:
5	1	1	1	2	2	140	77	99	25	96.281723	123.45
4	1	1	1	3	0	44	120	178	25	-1	
5	1	1	1	3	1	44	120	101	25	96.506737	Status:
5	1	1	1	3	2	159	120	63	25	96.992172	Paid
