level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	580	124	-1	
2	1	1	0	0	0	34	28	513	68	-1	
3	1	1	1	0	0	34	28	513	68	-1	
4	1	1	1	1	0	34	28	513	32	-1	
5	1	1	1	1	1	34	28	123	25	92.586029	MoonBit
5	1	1	1	1	2	167	35	102	25	96.058846	groups
5	1	1	1	1	3	281	28	102	32	96.385658	nearby
5	1	1	1	1	4	394	28	73	25	95.990753	OCR
5	1	1	1	1	5	479	28	68	25	96.877136	lines
4	1	1	1	2	0	34	64	490	32	-1	
5	1	1	1	2	1	34	64	52	25	96.356163	into
5	1	1	1	2	2	97	71	55	18	96.188187	one
5	1	1	1	2	3	163	64	189	25	95.945557	conservative
5	1	1	1	2	4	364	64	160	32	96.246841	paragraph.
