id	format	path	source_type	source_id	license_status	license_review_status	privacy	size_class	features	expected_signals	quality_tier	original_url	local_cache_path	notes
md_test_docx	docx	external_quality/docx/markitdown/test.docx	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	medium	heading;paragraph;image	no_empty_output;contains:AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation;contains:Abstract;contains:Introduction;order:Abstract|Introduction|314b0a30-5b04-470b-b9f7-eed2c2bec74a;table_marker;image_ref	gate	https://github.com/microsoft/markitdown	external_quality/docx/markitdown	curated from Microsoft MarkItDown tests
md_rlink_docx	docx	external_quality/docx/markitdown/rlink.docx	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	small	heading;paragraph	no_empty_output;contains:Testing Linked Images	reference	https://github.com/microsoft/markitdown	external_quality/docx/markitdown	minimal docx smoke
md_test_xlsx	xlsx	external_quality/xlsx/markitdown/test.xlsx	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	small	table;sheet_order	no_empty_output;contains:09060124-b5e7-4717-9d07-3c046eb;contains:affc7dad-52dc-4b98-9b5d-51e65d8a8ad0;table_marker	gate	https://github.com/microsoft/markitdown	external_quality/xlsx/markitdown	xlsx table/sheet signal
md_test_pptx	pptx	external_quality/pptx/markitdown/test.pptx	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	medium	heading;image;table_like	no_empty_output;contains:AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation;contains:A table to test parsing:;table_marker;image_ref	gate	https://github.com/microsoft/markitdown	external_quality/pptx/markitdown	pptx slide/image/table signal
md_pptx_image_alt_caption_test	pptx	external_quality/pptx/markitdown/test.pptx	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	medium	image;image_alt;caption;metadata	no_empty_output;image_ref;metadata_file;contains_all:This phrase of the caption is Human-written.|These Test Strings are in the Image!	reference	https://github.com/microsoft/markitdown	external_quality/pptx/markitdown	small PPTX external reference for image alt text plus nearby caption
md_pptx_table_small_test	pptx	external_quality/pptx/markitdown/test.pptx	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	medium	table;presentationml	no_empty_output;contains:A table to test parsing:;table_marker;contains:1b92870d-e3b5-4e65-8153-919f4ff45592	reference	https://github.com/microsoft/markitdown	external_quality/pptx/markitdown	small PPTX external reference for table extraction
md_pptx_grouped_shapes_test	pptx	external_quality/pptx/markitdown/test.pptx	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	medium	grouped_shapes;list;presentationml	no_empty_output;contains:A Nested Shape parsing;contains_all:Nested Shape|This is a nested shape with content in 2 shapes|Sub comment 2	reference	https://github.com/microsoft/markitdown	external_quality/pptx/markitdown	small PPTX external reference for grouped shape text flattening
md_pptx_chart_series_known_bad	pptx	external_quality/pptx/markitdown/test.pptx	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	medium	chart;presentationml;metadata	no_empty_output;contains:A chart to test parsing:;contains:Series 1;metadata_file	reference	https://github.com/microsoft/markitdown	external_quality/pptx/markitdown	small PPTX external reference for cached chart data extraction via RichTable lowering
md_test_blog_html	html	external_quality/html/markitdown/test_blog.html	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	medium	heading;link;paragraph_order	no_empty_output;contains:Large language models (LLMs) are powerful tools;contains:GPT-4 is currently the state of the art LLM in the world;link_ref	gate	https://github.com/microsoft/markitdown	external_quality/html/markitdown	html article signal
html_mdn_main_element	html	external_quality/html/mdn/mdn_main_element.html	public_web	mdn_content_pages	CC-BY-SA	approved	external_cache	medium	html;article_main_selection;link	no_empty_output;contains_all:<main> HTML main element|The <main> [HTML]|Accessibility;link_ref;not_contains:Search MDN	reference	https://developer.mozilla.org/en-US/docs/Web/HTML/Reference/Elements/main	external_quality/html/mdn	MDN content page captured locally after license review; exercises role/main-content selection without pulling site chrome into output
html_mdn_article_element	html	external_quality/html/mdn/mdn_article_element.html	public_web	mdn_content_pages	CC-BY-SA	approved	external_cache	medium	html;article_main_selection;link	no_empty_output;contains_all:<article> HTML article contents element|The <article> [HTML]|Usage notes;link_ref;not_contains:Search MDN	reference	https://developer.mozilla.org/en-US/docs/Web/HTML/Reference/Elements/article	external_quality/html/mdn	MDN content page captured locally after license review; exercises article/content wrapper selection on a real documentation page
md_test_serp_html_redirect_unwrap_counts	html	external_quality/html/markitdown-repo/packages/markitdown/tests/test_files/test_serp.html	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	large	html;search_result;redirect_unwrap;link_order	no_empty_output;exact_count:[Official website](https://www.microsoft.com/)=1;exact_count:[Microsoft companies](https://opencorporates.com/corporate_groupings/Microsoft)=1;exact_count:[OpenCorporates](/search?q=OpenCorporates%20wikipedia&form=WIKIRE)=1;exact_count:[Bill Gates](/search?q=Bill%20Gates%20wikipedia&form=WIKIRE)=1;exact_count:[Paul Allen](/search?q=Paul%20Allen%20wikipedia&form=WIKIRE)=1;exact_count:[See more](https://en.wikipedia.org/wiki/Microsoft)=1;exact_count:[See more](https://en.wikipedia.org/wiki/Microsoft#History)=1;not_contains:https://www.bing.com/ck/a;order:History|1972–1985: Founding|Corporate identity|External links|Corporate affairs|See also;link_ref	gate	https://github.com/microsoft/markitdown	external_quality/html/markitdown-repo/packages/markitdown/tests/test_files	Local-only SERP redirect-unwrapping guard on upstream MarkItDown HTML fixture; catches Bing tracking-wrapper leakage and keeps canonical/relative href lowering stable
md_test_epub	epub	external_quality/epub/markitdown/test.epub	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	small	heading;list;blockquote	no_empty_output;contains:Chapter 1: Test Content;order:Chapter 1: Test Content|Chapter 2: More Content;contains:This is a blockquote for testing	gate	https://github.com/microsoft/markitdown	external_quality/epub/markitdown	epub chapter ordering signal
