level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	368	196	-1	
2	1	1	0	0	0	33	28	302	140	-1	
3	1	1	1	0	0	33	28	302	140	-1	
4	1	1	1	1	0	33	28	265	32	-1	
5	1	1	1	1	1	33	43	9	3	93.184601	-
5	1	1	1	1	2	54	28	244	32	87.114861	OCRPageModel
4	1	1	1	2	0	33	82	260	32	-1	
5	1	1	1	2	1	33	97	9	3	92.964111	-
5	1	1	1	2	2	54	82	100	32	96.312180	Layout
5	1	1	1	2	3	165	89	128	25	96.685898	recovery
4	1	1	1	3	0	33	136	302	32	-1	
5	1	1	1	3	1	33	151	9	3	93.256844	-
5	1	1	1	3	2	54	136	153	25	95.964600	Markdown
5	1	1	1	3	3	220	136	115	32	96.118889	preview
