level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1100	240	-1	
2	1	1	0	0	0	53	54	578	107	-1	
3	1	1	1	0	0	53	54	578	107	-1	
4	1	1	1	1	0	53	54	411	28	-1	
5	1	1	1	1	1	53	54	73	22	96.339790	Table
5	1	1	1	1	2	137	54	22	22	96.172760	2:
5	1	1	1	1	3	170	54	65	22	96.172760	OCR
5	1	1	1	1	4	245	54	87	28	96.677544	quality
5	1	1	1	1	5	341	60	123	22	96.710411	summary
4	1	1	1	2	0	54	132	577	29	-1	
5	1	1	1	2	1	54	132	77	23	96.444061	Rows
5	1	1	1	2	2	142	138	45	17	95.681320	are
5	1	1	1	2	3	198	132	117	23	95.917183	checked
5	1	1	1	2	4	326	132	102	23	96.673859	without
5	1	1	1	2	5	439	132	104	29	96.000298	running
5	1	1	1	2	6	556	132	75	23	95.314857	OCR.
