dataset_id	name	source_url	license	redistribution	data_format	label_granularity	task_a_mapping_quality	candidate_labels	training_use	tracked_tiny_subset_policy	risk	status	notes
doclaynet	DocLayNet	https://github.com/DS4SD/DocLayNet	CDLA-Permissive-1.0	ok	COCO page-layout boxes + PNG pages + extra PDF/JSON	region/block	high	paragraph;heading;footer_header_noise;caption;table_like;list_item	yes	metadata_and_adapter_first	28GiB core + 7.5GiB extra; low PII	priority	Human-annotated 11-label layout dataset; best current public fit for Task A; Picture/Footnote/Formula need conservative mapping.
publaynet	PubLayNet	https://github.com/ibm-aur-nlp/PubLayNet	CDLA-Permissive-1.0 needs official item-page reconfirmation	metadata_only	COCO page-layout boxes + page images + released page PDFs	region/block	medium_high	paragraph;heading;list_item;table_like	yes_weak_labels	existing_sample_json_only	Large; low PII	candidate	Auto-generated from PMC OA commercial-use subset rather than human gold labels; useful adapter baseline but not main gold source.
pubtables_1m	PubTables-1M	https://github.com/microsoft/table-transformer	needs_review	metadata_only	table detection/structure annotations + page images/table crops	table and cell	medium	table_like	yes_table_only	first_rows_metadata_only	Very large; low PII	candidate	Strong table supervision for Task A table_like, but current repo only has first-row metadata and official license needs a second pass.
docbank	DocBank	https://github.com/doc-analysis/DocBank	Apache-2.0 repo; README says do not redistribute data	local_only	token-level text + layout + derived COCO	token/block	medium	paragraph;heading;caption;table_like;list_item;footer_header_noise	research_only	no_tracked_bytes	500K pages; low PII	local_only	Weakly supervised academic-paper corpus; useful for local adapter experiments only until data redistribution terms are clarified.
tablebank	TableBank	https://github.com/doc-analysis/TableBank	Apache-2.0 repo; README says research purpose only	local_only	table boxes + structure HTML	image/table	low	table_like	research_only	no_tracked_bytes	Hundreds of thousands of tables; low PII	local_only	Good single-label booster for table_like, but not a general Task A corpus and not suitable for tracked bytes here.
funsd	FUNSD	https://guillaumejaume.github.io/FUNSD/	non-commercial research and educational only	local_only	form images + OCR words + entity JSON	entity/word	medium	form_row;heading;keep_as_text	research_only	no_tracked_bytes	Small but scanned; medium PII	local_only	Manually annotated and useful for form/key-value sanity, but license and scanned-form provenance make it a side corpus only.
layoutparser_zoo	LayoutParser Dataset Zoo	https://layout-parser.github.io/	mixed per upstream dataset	metadata_only	mixed links/metadata	mixed	mixed	paragraph;heading;caption;table_like;list_item;form_row	discovery_only	metadata_only_only	Depends on upstream dataset	metadata_only	Not a dataset itself; use only as discovery index for adapters and mirrors.
deepfigures	DeepFigures	https://github.com/allenai/deepfigures-open	needs_review	metadata_only	figure/caption extraction resources + code	region/figure	low_medium	caption	review_needed	metadata_only_only	Large academic crawl; low PII	needs_review	Potential caption booster, but source packaging and redistribution terms need a separate pass before any byte tracking.
rvl_cdip	RVL-CDIP	https://adamharley.com/rvl-cdip/	inherits IIT-CDIP / tobacco library terms	local_only	document-class images + class labels	document/page	low	keep_as_text	no_for_block_training	labels_only_maybe; no tracked images	37GB images; provenance-sensitive	metadata_only	Document classification only, not a block-label corpus; may help negative document sourcing but not direct Task A training.
iit_cdip	IIT-CDIP	https://ir.nist.gov/cdip/	unknown	unknown	document images + OCR + metadata	document/page	low	keep_as_text	no_for_block_training	no_tracked_bytes	Huge; provenance-sensitive	unknown	Upstream source for RVL-CDIP/FUNSD provenance; no confirmed Task A block labels and no clear redistribution path collected this round.
cord	CORD	https://github.com/clovaai/cord	CC BY 4.0	ok	receipt images + OCR + semantic parse	entity/word	medium	form_row;heading;keep_as_text	yes_domain_limited	no_tracked_bytes_due_receipt_pii	Receipt domain; medium-high PII	needs_review	Useful for form-like rows, but receipt-specific and PII-sensitive, so keep out of tracked subset policy for now.
sroie	SROIE	https://rrc.cvc.uab.es/?ch=13	download requires registration; license unclear	forbidden	receipt images + OCR/IE labels	entity/word	low	form_row;keep_as_text	review_needed	no_tracked_bytes	Receipt domain; high PII	forbidden	Registration gate plus unclear redistribution makes it unsuitable for tracked Task A bytes.
