record_kind	page_index	block_index	line_index	next_page_index	next_block_index	next_line_index	label	notes
block	1	0	0				Heading	document title
block	1	1	1				Heading	section heading
block	1	2	2				BodyText	short sentence should stay body
block	1	3	3				Caption	figure caption
block	1	4	4				Heading	section heading
block	1	5	5				BodyText	short lead-in sentence should stay body
block	1	6	6				BodyText	bullet item
block	1	7	7				BodyText	bullet item
block	1	8	8				BodyText	heading-like short sentence should stay body
block	1	9	9				BodyText	body paragraph
