id	format	path	source_type	source_id	license_status	license_review_status	privacy	size_class	features	expected_signals	quality_tier	original_url	local_cache_path	notes	proposed_rel_path	migration_action	migration_note	quality_tags	quality_note	proposed_expected_fail	proposed_skip_reason
markdown_python_markdown_footnotes	markdown	external_quality/markdown/python-markdown/footnotes.md	public_web	python_markdown_docs	BSD-3-Clause	approved	external_cache	small	markdown;heading;fence;blockquote;footnote;literal_passthrough	no_empty_output;contains:Footnotes;contains:Summary;contains:Syntax;contains:[^1]: This is a footnote definition.;contains:See the [Library Reference](../reference.md#extensions);contains:    > A blockquote with;exact_count:```md=2	reference	https://raw.githubusercontent.com/Python-Markdown/markdown/master/docs/extensions/footnotes.md	external_quality/markdown/python-markdown	Python-Markdown footnotes extension documentation captured as a real Markdown sample; exercises source-preserving passthrough plus convert-owned footnote handling on a small BSD-3-Clause page	markdown/python-markdown/footnotes.md	keep					
html_mdn_main_element	html	external_quality/html/mdn/mdn_main_element.html	public_web	mdn_content_pages	CC-BY-SA	approved	external_cache	medium	html;article_main_selection;link	no_empty_output;contains_all:<main> HTML main element|The <main> [HTML]|Accessibility;link_ref;not_contains:Search MDN	reference	https://developer.mozilla.org/en-US/docs/Web/HTML/Reference/Elements/main	external_quality/html/mdn	MDN content page captured locally after license review; accepted strict HTML-real anchor with source/license/hash closure recorded in HTML_SAMPLES.tsv; exercises role/main-content selection without pulling site chrome into output	html/mdn/mdn_main_element.html	keep					
html_mdn_article_element	html	external_quality/html/mdn/mdn_article_element.html	public_web	mdn_content_pages	CC-BY-SA	approved	external_cache	medium	html;article_main_selection;link	no_empty_output;contains_all:<article> HTML article contents element|The <article> [HTML]|Usage notes;link_ref;not_contains:Search MDN	reference	https://developer.mozilla.org/en-US/docs/Web/HTML/Reference/Elements/article	external_quality/html/mdn	MDN content page captured locally after license review; accepted strict HTML-real anchor with source/license/hash closure recorded in HTML_SAMPLES.tsv; exercises article/content wrapper selection on a real documentation page	html/mdn/mdn_article_element.html	keep					
epub_multimedia_idpf_epub30_test_0100	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0100.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	large	epub;spine;multimedia;remote_resource;metadata	no_empty_output;contains_all:Reflowable EPUB 3 Conformance Test Document: 0100|Content Documents: XHTML|audio-040 The audio element: remote resources|video-050 The video element: Captions (WebVTT)|trigger-010 The trigger element: play	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0100	external_quality/epub/idpf-epub-testsuite	CC-BY-4.0 IDPF EPUB Test Suite sample repacked locally from the official exploded package; exercises XHTML spine order plus remote manifest multimedia sidecars that must not abort lower-layer package open	epub/idpf-epub-testsuite/epub30-test-0100.epub	needs_source_review	source_id missing or not found in staging source catalog				
epub_styling_idpf_epub30_test_0101	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0101.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	medium	epub;spine;nav;list;metadata	no_empty_output;contains_all:EPUB 3 Styling Test Document: 0101|EPUB Style Sheets|style-110 Multi-Column Layouts|style-009 decimal|hiragana-iroha	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0101	external_quality/epub/idpf-epub-testsuite	CC-BY-4.0 IDPF EPUB Test Suite sample repacked locally from the official exploded package; useful external control for EPUB spine/nav ordering plus list-heavy XHTML chapters	epub/idpf-epub-testsuite/epub30-test-0101.epub	needs_source_review	source_id missing or not found in staging source catalog				
epub_scripting_idpf_epub30_test_0102	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0102.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	medium	epub;spine;scripting;commented_manifest;metadata	no_empty_output;contains_all:EPUB 3 Scripting Test Document: 0102|Scripting and Interactivity|readingSystemObject|XMLHttpRequest|Forms	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0102	external_quality/epub/idpf-epub-testsuite	CC-BY-4.0 IDPF EPUB Test Suite sample repacked locally from the official exploded package; exposed an OPF parser robustness issue where commented-out manifest items must stay ignored rather than duplicating live ids	epub/idpf-epub-testsuite/epub30-test-0102.epub	needs_source_review	source_id missing or not found in staging source catalog				
epub_scripting_idpf_epub30_test_0102_counts	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0102.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	medium	epub;spine;scripting;commented_manifest;forms;count_guard	no_empty_output;exact_count:# EPUB/xhtml/front.xhtml=1;exact_count:# EPUB 3 Scripting Test Document: 0102=1;exact_count:# EPUB/xhtml/scripting-001.xhtml=1;exact_count:# Scripting and Interactivity=1;exact_count:# EPUB/xhtml/scripting-002.xhtml=1;exact_count:## readingSystemObject=1;exact_count:# EPUB/xhtml/scripting-003.xhtml=1;exact_count:## XMLHttpRequest=1;exact_count:# EPUB/xhtml/forms-001.xhtml=1;exact_count:## Forms=1;exact_count:# EPUB/xhtml/forms-002.xhtml=1;exact_count:### Input Types=1;not_contains:-->;not_contains:<script;not_contains:<style;not_contains:<item;order:# EPUB/xhtml/front.xhtml|# EPUB 3 Scripting Test Document: 0102|# EPUB/xhtml/scripting-001.xhtml|# Scripting and Interactivity|# EPUB/xhtml/scripting-002.xhtml|## readingSystemObject|# EPUB/xhtml/scripting-003.xhtml|## XMLHttpRequest|# EPUB/xhtml/forms-001.xhtml|## Forms|# EPUB/xhtml/forms-002.xhtml|### Input Types	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0102	external_quality/epub/idpf-epub-testsuite	Local-only strong scripting/spine guard on the IDPF 0102 EPUB sample; catches reordered scripting/forms sections, commented-manifest leakage, or raw markup bleed beyond the earlier broad contains-all row	epub/idpf-epub-testsuite/epub30-test-0102.epub	needs_source_review	source_id missing or not found in staging source catalog				
epub_layout_flow_idpf_epub30_test_0110	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0110.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	medium	epub;spine;longform;xhtml;metadata	no_empty_output;contains_all:Layout Flow Document: 0110|flow-010 Paginated Flow|Chapter 1. Loomings.|Chapter 2. The Carpet-Bag.	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0110	external_quality/epub/idpf-epub-testsuite	CC-BY-4.0 IDPF EPUB Test Suite sample with long-form XHTML chapters and layout-flow frontmatter; useful positive control for large spine sections after package-open hardening	epub/idpf-epub-testsuite/epub30-test-0110.epub	needs_source_review	source_id missing or not found in staging source catalog				
epub_cfi_idpf_epub30_test_0140	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0140.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	large	epub;link;internal_ref;external_ref;comment_boundary	no_empty_output;contains_all:EPUB CFI Conformance Test Document: 0140|Intra-Publication Linking|Click to test path|Target location correction|Link to Chapter 1 of Moby Dick;link_ref;not_contains:-->	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0140	external_quality/epub/idpf-epub-testsuite	CC-BY-4.0 IDPF EPUB Test Suite sample with intra-publication CFI links, external publication links, and a commented-out optional block; useful external guard that comment tails do not leak into normal Markdown while visible links stay intact	epub/idpf-epub-testsuite/epub30-test-0140.epub	needs_source_review	source_id missing or not found in staging source catalog				
epub_nav_idpf_epub30_test_0150	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0150.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	medium	epub;nav;landmarks;page_list;custom_nav	no_empty_output;contains_all:EPUB Navigation Documents: 0150|landmarks nav|page-list nav|Custom nav elements|Glossary|110	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0150	external_quality/epub/idpf-epub-testsuite	CC-BY-4.0 IDPF EPUB Test Suite sample with nav-in-spine content, landmarks/page-list/custom-nav prose, and fragment-bearing target documents; useful external guard for EPUB nav/text aggregation after package-open hardening	epub/idpf-epub-testsuite/epub30-test-0150.epub	needs_source_review	source_id missing or not found in staging source catalog				
