id	source_name	formats	source_type	url	license_status	redistributable	recommended_use	download_mode	local_cache	priority	notes	proposed_source_id	proposed_url	proposed_license	proposed_local_path	migration_note
openxml_sdk_tests	openxml_sdk_tests	docx	tool_fixture	https://github.com/dotnet/Open-XML-SDK	MIT	ok	accurate_regression_fixture	checked_in_existing	external_accurate/docx/openxml-sdk	p1	MIT Open XML SDK DOCX fixtures retained for accurate textbox-inline and AlternateContent coverage; local cache keeps the upstream license mirror and a dedicated accurate audit note.	openxml_sdk_tests	https://github.com/dotnet/Open-XML-SDK	MIT	external_accurate/docx/openxml-sdk	copied from the audited external_quality source group with accurate-specific enrollment notes
apache_poi_tests	apache_poi_tests	xlsx	tool_fixture	https://github.com/apache/poi	Apache-2.0	ok	accurate_regression_fixture	checked_in_existing	external_accurate/xlsx/apache-poi	p1	Apache POI XLSX fixtures retained for accurate hidden-sheet and hidden-row coverage; local cache keeps upstream LICENSE / NOTICE mirrors and a dedicated accurate audit note.	apache_poi_tests	https://github.com/apache/poi	Apache-2.0	external_accurate/xlsx/apache-poi	copied from the audited external_quality source group with accurate-specific enrollment notes
xlsxwriter_examples	XlsxWriter examples	xlsx	tool_fixture	https://github.com/jmcnamara/XlsxWriter	BSD-2-Clause	ok	accurate_regression_fixture	checked_in_existing	external_accurate/xlsx/xlsxwriter	p1	XlsxWriter generated workbook retained for accurate merged-span HTML table coverage; local cache keeps the upstream license mirror and a dedicated accurate audit note.	xlsxwriter_examples	https://github.com/jmcnamara/XlsxWriter	BSD-2-Clause	external_accurate/xlsx/xlsxwriter	copied from the audited external_quality source group with accurate-specific enrollment notes
python_pptx_tests	python-pptx tests	pptx	tool_fixture	https://github.com/scanny/python-pptx	MIT	ok	accurate_regression_fixture	checked_in_existing	external_accurate/pptx/python-pptx	p1	MIT python-pptx fixtures retained for accurate grouped-shape summaries, reading-order recovery, and notes-path evidence; local cache keeps the upstream license mirror and a dedicated accurate audit note.	python_pptx_tests	https://github.com/scanny/python-pptx	MIT	external_accurate/pptx/python-pptx	copied from the audited external_quality source group with accurate-specific enrollment notes
odf_toolkit_tests	ODF Toolkit official test documents	odt,ods,odp	tool_fixture	https://github.com/tdf/odftoolkit	Apache-2.0	ok	accurate_regression_fixture	checked_in_existing	external_accurate/odt/odf-toolkit	p1	Apache-2.0 ODF Toolkit fixtures retained for accurate ODT comment/note evidence, ODS covered-cell spans, and ODP slide-summary / notes evidence; each format subtree keeps an accurate audit note.	odf_toolkit_tests	https://github.com/tdf/odftoolkit	Apache-2.0	external_accurate/odt/odf-toolkit	copied from the audited external_quality source group with accurate-specific enrollment notes
ocr_src_0027	Project-owned synthetic OCR seed pages	ocr	local_generated	local-generated	project_owned	ok	accurate_runtime_smoke_fixture	repo_tracked	external_accurate/ocr/self_synthetic	p2	Project-owned synthetic OCR page retained only for the accurate runtime preflight smoke test. It is intentionally not enrolled as a public-source regression row.	ocr_src_0027	local-generated	project_owned	external_accurate/ocr/self_synthetic	carried over for preflight-only runtime smoke coverage
ocr_src_0028	Wikimedia Commons File:Image 579x817 from 0,8 to 7224,10200.jpg	ocr	wikimedia_commons	https://commons.wikimedia.org/wiki/File%3AImage_579x817_from_0%2C8_to_7224%2C10200.jpg	Public domain	ok	accurate_regression_fixture	checked_in_existing	external_accurate/ocr/commons	p1	Commons public-domain OCR layout image retained for accurate direct-image provider-truth coverage; local cache keeps a dedicated accurate audit note.	ocr_src_0028	https://commons.wikimedia.org/wiki/File%3AImage_579x817_from_0%2C8_to_7224%2C10200.jpg	Public domain	external_accurate/ocr/commons	copied from the audited external_quality source group with accurate-specific enrollment notes
ocr_src_0031	Wikimedia Commons File:Typewriter-writed paper.jpg	ocr	wikimedia_commons	https://commons.wikimedia.org/wiki/File%3ATypewriter-writed_paper.jpg	CC0	ok	accurate_regression_fixture	checked_in_existing	external_accurate/ocr/commons	p2	Commons CC0 OCR degradation image retained as an additional accurate direct-image candidate; local cache keeps a dedicated accurate audit note.	ocr_src_0031	https://commons.wikimedia.org/wiki/File%3ATypewriter-writed_paper.jpg	CC0	external_accurate/ocr/commons	copied from the audited external_quality source group with accurate-specific enrollment notes
irs_forms_public	irs_forms_public	pdf	government_public	https://www.irs.gov/pub/irs-pdf/fw4.pdf	USGov-PD-reviewed	ok	accurate_regression_fixture	existing_checked_in_or_local_reference	external_accurate/pdf/irs	p1	Official IRS W-4 PDF retained for accurate born-digital PDF route and provenance coverage; local cache keeps a dedicated accurate audit note.	irs_forms_public	https://www.irs.gov/pub/irs-pdf/fw4.pdf	USGov-PD-reviewed	external_accurate/pdf/irs	copied from the audited external_quality source group with accurate-specific enrollment notes
niosh_publications	niosh_publications	pdf	government_public	https://www.cdc.gov/niosh/docs/2023-113/2023-113.pdf	public_domain	ok	accurate_regression_fixture	existing_checked_in_or_local_reference	external_accurate/pdf/niosh	p1	Official CDC/NIOSH PDF retained for accurate scanned-like auto-upgrade and Paddle-backed PDF OCR coverage; local cache keeps a dedicated accurate audit note.	niosh_publications	https://www.cdc.gov/niosh/docs/2023-113/2023-113.pdf	public_domain	external_accurate/pdf/niosh	copied from the audited external_quality source group with accurate-specific enrollment notes
