level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1100	240	-1	
2	1	1	0	0	0	52	54	548	107	-1	
3	1	1	1	0	0	52	54	548	107	-1	
4	1	1	1	1	0	54	54	375	28	-1	
5	1	1	1	1	1	54	54	46	28	96.683632	Fig.
5	1	1	1	1	2	111	54	22	22	92.937202	3:
5	1	1	1	1	3	145	54	217	28	91.540054	Resegmentation
5	1	1	1	1	4	374	54	55	28	96.672729	path
4	1	1	1	2	0	52	132	548	29	-1	
5	1	1	1	2	1	52	132	75	23	96.461624	Word
5	1	1	1	2	2	139	133	134	28	96.181961	geometry
5	1	1	1	2	3	283	138	49	17	95.686981	can
5	1	1	1	2	4	344	132	56	29	96.783630	split
5	1	1	1	2	5	411	132	106	29	96.705399	merged
5	1	1	1	2	6	530	132	70	23	96.921082	lines.
