id	name	source_url	source_kind	license	redistribution	candidate_scenarios	notes
pdf_src_0001	IRS Forms and Publications	https://www.irs.gov/FormsPubs	government_public	U.S. government works on IRS.gov with per-file review	ok	forms_key_value;heading_hierarchy;footnote_header_footer;cjk_pdf;model_targets=key_value_region,heading_vs_paragraph,noise_header_footer	Reachable 2026-05-25; IRS use-of-content page says content created or maintained by federal employees is not subject to copyright and may be freely copied, while separately copyrighted material must be cleared; commercial and derivative reuse is generally acceptable for blank government-created forms; credit requested; document_kind=form,manual; pdf_signal=born_digital_text; risk_tags=form_like,key_value_like,header_footer,page_number,cjk,latin,pii_risk; strong next-round item-level audit candidate for blank forms and multilingual instructions; do not download filled or signed examples.
pdf_src_0002	GovInfo official federal publications	https://www.govinfo.gov/about	government_public	Mixed U.S. government works plus possible embedded third-party material	metadata_only	plain_text_pdf;heading_hierarchy;footnote_header_footer;table_heavy;reading_order;model_targets=noise_header_footer,heading_vs_paragraph,table_region_detection	Reachable 2026-05-25; GovInfo says public documents can generally be reprinted without legal restriction, but government publications may contain copyrighted material and users should consult the originating agency; commercial and derivative reuse depends on the specific publication; attribution to the originating agency is customary; document_kind=report,specification,mixed_layout; pdf_signal=born_digital_text,mixed_text_image; risk_tags=header_footer,page_number,table_like,figure_like,license_risk,large_file; metadata-only by default; recommend item-level audit on specific agency PDFs rather than bulk download.
pdf_src_0003	GAO reports and testimonies	https://www.gao.gov/copyright	government_public	GAO products are not protected by U.S. copyright except embedded third-party material	ok	heading_hierarchy;table_heavy;figure_caption;footnote_header_footer;model_targets=noise_header_footer,caption_association,table_region_detection	Reachable 2026-05-25; GAO copyright page says GAO products and website information may be copied and distributed in full without permission, but copyrighted images or other material may need separate permission; commercial and derivative reuse is acceptable for GAO-authored text and layout; citation requested; document_kind=report,table_heavy; pdf_signal=born_digital_text; risk_tags=header_footer,page_number,table_like,caption_like,figure_like,license_risk; high-value tracked-payload candidate after per-file image screening.
pdf_src_0004	NIST Technical Series publications	https://www.nist.gov/open/copyright-fair-use-and-licensing-statements-srd-data-software-and-technical-series-publications	government_public	NIST Technical Series public-domain in U.S. with worldwide reprint grant	ok	heading_hierarchy;table_heavy;figure_caption;math_code;model_targets=heading_vs_paragraph,caption_association,table_region_detection	Reachable 2026-05-25; NIST says employee-authored Technical Series works are not protected by copyright in the U.S. and grants a worldwide royalty-free right to reprint and create derivatives, while warning that some works include third-party material; commercial use and derivatives are generally allowed for NIST-authored content; attribution requested with the NIST citation formula; document_kind=manual,specification,paper,report; pdf_signal=born_digital_text,mixed_text_image; risk_tags=heading_paragraph,numbered_heading,table_like,caption_like,math_like,code_like,license_risk; strong next-round item-level audit candidate.
pdf_src_0005	NASA STI Repository and NTRS	https://sti.nasa.gov/disclaimers/	government_public	Mixed U.S. government works, contractor works, and third-party inserts	metadata_only	heading_hierarchy;figure_caption;table_heavy;mixed_text_image;model_targets=heading_vs_paragraph,caption_association,table_region_detection,low_signal_detection	Reachable 2026-05-25; NASA STI terms say U.S. government works may be used without permission, but not all downloaded materials are U.S. government works and contractor or licensed third-party content may remain protected; commercial and derivative reuse therefore vary by item; NASA acknowledgment is prudent; document_kind=report,paper,manual; pdf_signal=born_digital_text,mixed_text_image,ocr_layer; risk_tags=figure_like,caption_like,table_like,license_risk,large_file; metadata-only default; recommend item-level audit only when an item clearly states PublicCopyright or other permissive notice.
pdf_src_0006	BLS publications and handbooks	https://www.bls.gov/opub/copyright-information.htm	government_public	BLS publications are public domain except previously copyrighted photos and illustrations	ok	table_heavy;heading_hierarchy;footnote_header_footer;list_heavy;model_targets=table_region_detection,noise_header_footer,heading_vs_paragraph,list_continuation	Reachable 2026-05-25; BLS says everything it publishes is in the public domain except previously copyrighted photographs and illustrations; commercial use and derivatives are acceptable for public-domain portions; citation requested; document_kind=report,manual,table_heavy; pdf_signal=born_digital_text; risk_tags=table_like,header_footer,page_number,list_like,license_risk; good tracked-payload candidate after checking for third-party images.
pdf_src_0007	CDC Stacks public health publications	https://stacks.cdc.gov/Content%20and%20Copyright	government_public	Mixed public-domain CDC works and article-level copyrighted material	metadata_only	heading_hierarchy;figure_caption;mixed_text_image;list_heavy;model_targets=heading_vs_paragraph,caption_association,low_signal_detection	Reachable 2026-05-25; CDC Stacks says information created by or for the U.S. government is public domain and may be copied, but peer-reviewed articles and some other items remain under article-level licenses and the copyright holder retains reuse rights; commercial use and derivatives depend on the item; attribution requested for public-domain items; document_kind=report,manual,paper,mixed_layout; pdf_signal=born_digital_text,mixed_text_image; risk_tags=caption_like,figure_like,list_like,license_risk; keep metadata-only unless item-level rights are explicit.
pdf_src_0008	CDC/NIOSH OSH Publication Catalog	https://wwwn.cdc.gov/osh_pub_catalog/	government_public	Official catalog states publications are free of charge and in the public domain	ok	heading_hierarchy;list_heavy;figure_caption;footnote_header_footer;model_targets=heading_vs_paragraph,list_continuation,caption_association,noise_header_footer	Reachable 2026-05-25 via search result and official catalog entry; catalog states all publications are free of charge and in the public domain; commercial use and derivatives are acceptable for catalog publications, with normal federal-source acknowledgment; document_kind=manual,specification,report; pdf_signal=born_digital_text,mixed_text_image; risk_tags=heading_paragraph,list_like,caption_like,header_footer,license_risk; recommended next-round item-level audit target for checklist-heavy manuals and safety guides.
pdf_src_0009	SEC EDGAR unofficial PDF filing copies	https://www.sec.gov/edgar/searchedgar/aboutedgar.htm	annual_report	Public access to unofficial filing PDFs; filer-owned rights and attachments vary	metadata_only	table_heavy;heading_hierarchy;footnote_header_footer;cross_page_merge;model_targets=table_region_detection,noise_header_footer,cross_page_merge	Reachable 2026-05-25; SEC says only plain-text or HTML documents are official filings and PDFs are unofficial copies submitted by filers; public availability does not provide a blanket redistribution grant and the PDF may contain graphics or copyrighted company material; commercial and derivative reuse are not cleared at the source level; document_kind=annual_report,report,table_heavy; pdf_signal=born_digital_text; risk_tags=table_like,header_footer,page_number,cross_page_paragraph,license_risk,large_file; metadata-only only; do not download by default.
pdf_src_0010	arXiv papers and license system	https://info.arxiv.org/help/license/index.html	arxiv_or_paper	Per-paper selectable licenses; metadata is CC0; article rights vary	metadata_only	multi_column;reading_order;figure_caption;math_code;model_targets=reading_order_columns,caption_association,heading_vs_paragraph	Reachable 2026-05-25; arXiv says all papers can be viewed and downloaded freely, but each submitter chooses an irrevocable license ranging from CC BY and CC0 to NC or arXiv-only terms; metadata is CC0; commercial use and derivatives depend on the paper-level license; attribution is required for CC licenses; document_kind=paper,multi_column_article; pdf_signal=born_digital_text; risk_tags=multi_column,caption_like,figure_like,math_like,code_like,license_risk; strong metadata-only source for item-level license filtering; never generalize one paper's license to the whole site.
