row_id,series,region,score,ratio,active,category,notes,url
1,series_1,emea,37,0.001,false,extended,"row 1 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/1
2,series_2,amer,74,0.002,true,stress,"row 2 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/2
3,series_3,latam,111,0.003,false,delta,"row 3 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/3
4,series_4,apac,148,0.004,true,baseline,"row 4 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/4
5,series_5,emea,185,0.005,false,extended,"row 5 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/5
6,series_6,amer,222,0.006,true,stress,"row 6 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/6
7,series_7,latam,259,0.007,false,delta,"row 7 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/7
8,series_8,apac,296,0.008,true,baseline,"row 8 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/8
9,series_9,emea,333,0.009,false,extended,"row 9 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/9
10,series_10,amer,370,0.010,true,stress,"row 10 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/10
11,series_11,latam,407,0.011,false,delta,"row 11 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/11
12,series_12,apac,444,0.012,true,baseline,"row 12 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/12
13,series_13,emea,481,0.013,false,extended,"row 13 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/13
14,series_14,amer,518,0.014,true,stress,"row 14 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/14
15,series_15,latam,555,0.015,false,delta,"row 15 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/15
16,series_16,apac,592,0.016,true,baseline,"row 16 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/16
17,series_0,emea,629,0.017,false,extended,"row 17 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/17
18,series_1,amer,666,0.018,true,stress,"row 18 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/18
19,series_2,latam,703,0.019,false,delta,"row 19 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/19
20,series_3,apac,740,0.020,true,baseline,"row 20 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/20
21,series_4,emea,777,0.021,false,extended,"row 21 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/21
22,series_5,amer,814,0.022,true,stress,"row 22 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/22
23,series_6,latam,851,0.023,false,delta,"row 23 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/23
24,series_7,apac,888,0.024,true,baseline,"row 24 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/24
25,series_8,emea,925,0.025,false,extended,"row 25 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/25
26,series_9,amer,962,0.026,true,stress,"row 26 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/26
27,series_10,latam,999,0.027,false,delta,"row 27 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/27
28,series_11,apac,1036,0.028,true,baseline,"row 28 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/28
29,series_12,emea,1073,0.029,false,extended,"row 29 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/29
30,series_13,amer,1110,0.030,true,stress,"row 30 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/30
31,series_14,latam,1147,0.031,false,delta,"row 31 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/31
32,series_15,apac,1184,0.032,true,baseline,"row 32 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/32
33,series_16,emea,1221,0.033,false,extended,"row 33 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/33
34,series_0,amer,1258,0.034,true,stress,"row 34 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/34
35,series_1,latam,1295,0.035,false,delta,"row 35 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/35
36,series_2,apac,1332,0.036,true,baseline,"row 36 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/36
37,series_3,emea,1369,0.037,false,extended,"row 37 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/37
38,series_4,amer,1406,0.038,true,stress,"row 38 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/38
39,series_5,latam,1443,0.039,false,delta,"row 39 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/39
40,series_6,apac,1480,0.040,true,baseline,"row 40 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/40
41,series_7,emea,1517,0.041,false,extended,"row 41 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/41
42,series_8,amer,1554,0.042,true,stress,"row 42 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/42
43,series_9,latam,1591,0.043,false,delta,"row 43 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/43
44,series_10,apac,1628,0.044,true,baseline,"row 44 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/44
45,series_11,emea,1665,0.045,false,extended,"row 45 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/45
46,series_12,amer,1702,0.046,true,stress,"row 46 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/46
47,series_13,latam,1739,0.047,false,delta,"row 47 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/47
48,series_14,apac,1776,0.048,true,baseline,"row 48 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/48
49,series_15,emea,1813,0.049,false,extended,"row 49 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/49
50,series_16,amer,1850,0.050,true,stress,"row 50 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/50
51,series_0,latam,1887,0.051,false,delta,"row 51 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/51
52,series_1,apac,1924,0.052,true,baseline,"row 52 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/52
53,series_2,emea,1961,0.053,false,extended,"row 53 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/53
54,series_3,amer,1998,0.054,true,stress,"row 54 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/54
55,series_4,latam,2035,0.055,false,delta,"row 55 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/55
56,series_5,apac,2072,0.056,true,baseline,"row 56 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/56
57,series_6,emea,2109,0.057,false,extended,"row 57 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/57
58,series_7,amer,2146,0.058,true,stress,"row 58 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/58
59,series_8,latam,2183,0.059,false,delta,"row 59 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/59
60,series_9,apac,2220,0.060,true,baseline,"row 60 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/60
61,series_10,emea,2257,0.061,false,extended,"row 61 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/61
62,series_11,amer,2294,0.062,true,stress,"row 62 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/62
63,series_12,latam,2331,0.063,false,delta,"row 63 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/63
64,series_13,apac,2368,0.064,true,baseline,"row 64 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/64
65,series_14,emea,2405,0.065,false,extended,"row 65 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/65
