record_kind	page_index	block_index	line_index	next_page_index	next_block_index	next_line_index	label	notes
block	1	0	0				footer_header_noise	page marker noise
block	1	1	1				footer_header_noise	separator-style page shell
block	1	2	2				footer_header_noise	page counter
block	1	3	3				paragraph	body paragraph
block	2	0	0				footer_header_noise	page marker noise
block	2	1	1				footer_header_noise	separator-style page shell
block	2	2	2				footer_header_noise	page counter
block	2	3	3				paragraph	body paragraph
block	3	0	0				footer_header_noise	page marker noise
block	3	1	1				footer_header_noise	separator-style page shell
block	3	2	2				footer_header_noise	page counter
block	3	3	3				paragraph	body paragraph
block	4	0	0				footer_header_noise	page marker noise
block	4	1	1				footer_header_noise	separator-style page shell
block	4	2	2				footer_header_noise	page counter
block	4	3	3				paragraph	body paragraph
