level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1300	340	-1	
2	1	1	0	0	0	62	70	1059	174	-1	
3	1	1	1	0	0	62	70	225	19	-1	
4	1	1	1	1	0	62	70	225	19	-1	
5	1	1	1	1	1	62	70	40	19	96.867447	Left
5	1	1	1	1	2	110	70	81	19	96.515068	column
5	1	1	1	1	3	201	70	37	19	96.500397	line
5	1	1	1	1	4	247	75	40	14	96.863358	one
3	1	1	2	0	0	62	100	1043	49	-1	
4	1	1	2	1	0	862	100	243	24	-1	
5	1	1	2	1	1	862	100	58	24	96.975708	Right
5	1	1	2	1	2	928	100	81	19	96.625244	column
5	1	1	2	1	3	1019	100	37	19	96.769539	line
5	1	1	2	1	4	1065	105	40	14	96.408798	one
4	1	1	2	2	0	62	130	224	19	-1	
5	1	1	2	2	1	62	130	40	19	96.755440	Left
5	1	1	2	2	2	110	130	81	19	96.725502	column
5	1	1	2	2	3	201	130	37	19	96.568680	line
5	1	1	2	2	4	246	131	40	18	96.568680	two
3	1	1	3	0	0	62	160	1042	49	-1	
4	1	1	3	1	0	862	160	242	24	-1	
5	1	1	3	1	1	862	160	58	24	96.945366	Right
5	1	1	3	1	2	928	160	81	19	96.307838	column
5	1	1	3	1	3	1019	160	37	19	96.699783	line
5	1	1	3	1	4	1064	161	40	18	96.820839	two
4	1	1	3	2	0	62	190	241	19	-1	
5	1	1	3	2	1	62	190	40	19	95.968407	Left
5	1	1	3	2	2	110	190	81	19	95.912621	column
5	1	1	3	2	3	201	190	37	19	96.138184	line
5	1	1	3	2	4	246	190	57	19	96.625580	three
3	1	1	4	0	0	862	220	259	24	-1	
4	1	1	4	1	0	862	220	259	24	-1	
5	1	1	4	1	1	862	220	58	24	96.732254	Right
5	1	1	4	1	2	928	220	81	19	96.769150	column
5	1	1	4	1	3	1019	220	37	19	96.769150	line
5	1	1	4	1	4	1064	220	57	19	96.543182	three
