level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	329	220	-1	
2	1	1	0	0	0	44	34	241	92	-1	
3	1	1	1	0	0	44	34	241	92	-1	
4	1	1	1	1	0	45	34	220	32	-1	
5	1	1	1	1	1	45	34	99	32	96.938713	Report
5	1	1	1	1	2	156	34	109	25	96.390587	Header
4	1	1	1	2	0	44	94	241	32	-1	
5	1	1	1	2	1	44	94	70	25	96.124886	Main
5	1	1	1	2	2	126	94	86	32	95.422661	signal
5	1	1	1	2	3	225	95	60	24	96.780769	text.
2	1	2	0	0	0	45	154	99	32	-1	
3	1	2	1	0	0	45	154	99	32	-1	
4	1	2	1	1	0	45	154	99	32	-1	
5	1	2	1	1	1	45	154	76	32	94.991806	Page
5	1	2	1	1	2	135	154	9	25	94.991806	1
