record_kind	page_index	block_index	line_index	next_page_index	next_block_index	next_line_index	label	notes
block	1	0	0				footer_header_noise	repeated header shell
block	1	1	1				keep_as_text	command-line/path-heavy summary block
block	1	2	2				keep_as_text	error summary with path-like payload stays literal
block	1	3	3				list_item	error bullet row
block	1	5	6				keep_as_text	file-like token should stay literal
block	1	13	15				list_item	bullet scenario item
block	1	14	16				paragraph	intro sentence should remain paragraph
block	2	3	3				paragraph	sentence introducing sample output should stay paragraph-like
block	2	5	5				keep_as_text	path-heavy console output block should stay literal
block	2	10	11				separator	double-dash separator token
block	2	13	14				list_item	changelog bullet item
block	2	14	15				list_item	changelog bullet item with path
block	2	17	18				list_item	changelog bullet item with path
block	2	19	20				list_item	changelog property bullet item
block	2	24	25				list_item	error bullet row
block	2	25	26				list_item	error bullet row with path
block	4	2	2				keep_as_text	path-heavy log line with dotted identifier stays literal
block	9	3	3				keep_as_text	command-line option continuation should stay literal
block	9	4	4				keep_as_text	command switch description should stay literal
block	9	5	5				keep_as_text	json-related switch description should stay literal
block	9	18	18				keep_as_text	quiet and warning option bundle should stay literal
block	9	19	19				keep_as_text	logging option lead-in should stay literal
block	9	20	20				keep_as_text	logdir option description should stay literal
block	9	28	28				keep_as_text	logfile option description should stay literal
block	9	29	32				keep_as_text	fully qualified class/script path style token
block	9	31	34				keep_as_text	applicationJar option description should stay literal
block	9	32	35				keep_as_text	jar path/config description should stay literal
block	9	38	41				keep_as_text	timeout option description should stay literal
