bench_id	format	source_group	size_class	target_rel_path	landing_url	source_url	license_id	license_url	terms_url	bench_layers	enabled_tier	review_status	download_status	notes
pdf_irs_p17	pdf	irs_publications	medium	pdf/irs_publications/medium/p17.pdf	https://www.irs.gov/forms-pubs/about-publication-17	https://www.irs.gov/pub/irs-pdf/p17.pdf	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		convert;cli;compare	disabled	reviewed_candidate	reused	Smoke moved to smaller Form 1040 because Pub 17 is too slow for matrix compare.
pdf_irs_f1040	pdf	irs_publications	small	pdf/irs_publications/small/f1040.pdf	https://www.irs.gov/forms-pubs/about-form-1040	https://www.irs.gov/pub/irs-pdf/f1040.pdf	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		convert;cli;compare	smoke	reviewed_candidate	reused	
pdf_irs_p15	pdf	irs_publications	medium	pdf/irs_publications/medium/p15.pdf	https://www.irs.gov/forms-pubs/about-publication-15	https://www.irs.gov/pub/irs-pdf/p15.pdf	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		convert;cli;compare	disabled	reviewed_candidate	reused	
pdf_nist_800_53r5	pdf	nist_publications	large	pdf/nist_publications/large/NIST.SP.800-53r5.pdf	https://csrc.nist.gov/publications/detail/sp/800-53/rev-5/final	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53r5.pdf	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		convert;cli;compare	disabled	reviewed_candidate	reused	
pdf_nist_800_61r2	pdf	nist_publications	medium	pdf/nist_publications/medium/NIST.SP.800-61r2.pdf	https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-61r2.pdf	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		convert;cli;compare	disabled	reviewed_candidate	reused	
pdf_nist_800_171r3	pdf	nist_publications	medium	pdf/nist_publications/medium/NIST.SP.800-171r3.pdf	https://csrc.nist.gov/publications/detail/sp/800-171/rev-3/final	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-171r3.pdf	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		convert;cli;compare	disabled	reviewed_candidate	reused	
pdf_nist_800_207	pdf	nist_publications	medium	pdf/nist_publications/medium/NIST.SP.800-207.pdf	https://csrc.nist.gov/publications/detail/sp/800-207/final	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207.pdf	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		convert;cli;compare	disabled	reviewed_candidate	reused	
pdf_nist_800_218	pdf	nist_publications	medium	pdf/nist_publications/medium/NIST.SP.800-218.pdf	https://csrc.nist.gov/publications/detail/sp/800-218/final	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		convert;cli;compare	disabled	reviewed_candidate	reused	
pdf_nist_ai_rmf	pdf	nist_publications	medium	pdf/nist_publications/medium/NIST.AI.100-1.pdf	https://www.nist.gov/itl/ai-risk-management-framework	https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		convert;cli;compare	disabled	reviewed_candidate	reused	
pdf_govinfo_budget_2025	pdf	govinfo	large	pdf/govinfo/large/BUDGET-2025-BUD.pdf	https://www.govinfo.gov/app/details/BUDGET-2025-BUD	https://www.govinfo.gov/content/pkg/BUDGET-2025-BUD/pdf/BUDGET-2025-BUD.pdf	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		convert;cli;compare	disabled	reviewed_candidate	catalog_only	Catalog only for now; large govinfo PDF left out of default download.
docx_rail_cif_notes	docx	opendatani	medium	docx/opendatani/medium/rail-cif-file-supplementary-notes.docx	https://www.data.gov.uk/dataset/e41b1057-b0bd-4419-95eb-77057c8ad6b0/nir20160126v2	https://admin.opendatani.gov.uk/dataset/e41b1057-b0bd-4419-95eb-77057c8ad6b0/resource/00dc6365-8b56-434f-8889-a39582a2eec6/download/rail-cif-file-supplementary-notes.docx	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		convert;cli;compare	disabled	reviewed_candidate	catalog_only	FETCH_BLOCKED in this environment; kept as catalog candidate.
docx_ulsterbus_cif_notes	docx	opendatani	small	docx/opendatani/small/ulsterbus-cif-file-supplementary-notes.docx	https://www.data.gov.uk/dataset/c1acee5b-a400-46bd-a795-9bf7637ff879/ulsterbus-and-goldline-timetable-data-from-28-june-31-august-2016	https://admin.opendatani.gov.uk/dataset/c1acee5b-a400-46bd-a795-9bf7637ff879/resource/7b195748-c3f9-4970-b0fb-90a194f7e3b3/download/bus-cif-file-supplementary-notes.docx	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		convert;cli;compare	disabled	reviewed_candidate	catalog_only	FETCH_BLOCKED in this environment; kept as catalog candidate.
docx_metro_cif_notes	docx	opendatani	small	docx/opendatani/small/metro-cif-file-supplementary-notes.docx	https://www.data.gov.uk/dataset/6d9677cf-8d03-4851-985c-16f73f7dd5fb/metro-timetable-data-valid-from-18-june-until-31-august-2016	https://admin.opendatani.gov.uk/dataset/6d9677cf-8d03-4851-985c-16f73f7dd5fb/resource/1a72b4c1-48a4-4dd9-a1ee-2de4bba281bc/download/bus-cif-file-supplementary-notes.docx	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		convert;cli;compare	disabled	reviewed_candidate	catalog_only	FETCH_BLOCKED in this environment; kept as catalog candidate.
