error_bucket	desired_feature	status	available_columns	derived_from_columns	requires	priority	notes
caption	near_image_or_table_region	weak	caption_near_prev_wide,caption_near_next_wide,prev_has_table_cue,next_has_table_cue,prev_has_figure_cue,next_has_figure_cue		parser visual/table/figure region geometry	P0	Current proxies only inspect neighboring text cues and wide boxes; they do not measure real visual-region proximity.
caption	distance_to_previous_visual_region	weak	prev_gap_norm,prev_gap_bucket,caption_near_prev_wide		parser visual/table/figure region geometry	P0	Gap to previous text block exists, but gap to previous visual/table region does not.
caption	distance_to_next_visual_region	weak	next_gap_norm,next_gap_bucket,caption_near_next_wide		parser visual/table/figure region geometry	P1	Gap to next text block exists, but gap to next visual/table region does not.
caption	caption_prefix_pattern	already_available	starts_with_caption_cue	text		P0	Existing cue column is available; an iter3 builder can expose a clearer pattern enum.
caption	short_text_with_caption_keywords	already_available	caption_like_short	text,token_count		P1	Already represented by a binary cue, but can be made easier to audit.
caption	same_page_visual_density	requires_parser_export			parser page visual inventory	P1	No same-page image/table/figure count or density feature exists.
caption	below_image_or_table	weak	caption_near_prev_wide,prev_has_table_cue,prev_has_figure_cue		parser visual/table/figure region geometry	P0	Neighbor-text proxies cannot prove below/above relation to a visual object.
caption	above_table_or_figure	weak	caption_near_next_wide,next_has_table_cue,next_has_figure_cue		parser visual/table/figure region geometry	P1	Needs region-level geometry for actual table/figure positions.
caption	near_figure_region	weak	prev_has_figure_cue,next_has_figure_cue,starts_with_figure_cue		parser figure/image region geometry	P0	Text cue proxies exist; real figure/image region proximity is missing.
caption	near_table_region	weak	prev_has_table_cue,next_has_table_cue,starts_with_table_cue		parser table region geometry	P0	Text cue proxies exist; real table region proximity is missing.
caption	caption_keyword_score	weak	starts_with_caption_cue,contains_figure_hint,contains_table_hint	text	text	P2	Can be derived now, but should not substitute for visual association.
list_item_vs_paragraph	bullet_or_number_prefix	already_available	starts_bullet,starts_numbered,list_marker_type,rich_list_marker_type	text		P0	Basic and rich marker features are already present.
list_item_vs_paragraph	starts_with_enumeration_pattern	already_available	starts_with_alpha_marker,starts_with_roman_marker,starts_with_paren_marker	text		P0	Existing marker signals can be collapsed into a clearer audit feature.
list_item_vs_paragraph	left_indent_bucket	already_available	left_indent_bucket,indent_bucket_fine			P0	Indent buckets are already available.
list_item_vs_paragraph	hanging_indent_score	weak	continuation_indent_like,continuation_after_marker_prev,continuation_before_marker_next,prev_same_left_band,next_same_left_band		parser line-level indent and wrapped-line structure	P0	Only weak block-neighbor proxies exist; true hanging indent needs line-level export.
list_item_vs_paragraph	continuation_line_count	weak	continuation_after_marker_prev,continuation_before_marker_next		parser line grouping	P0	Current features identify neighbor continuation candidates, not line counts within a block.
list_item_vs_paragraph	sibling_indent_similarity	weak	prev_same_left_band,next_same_left_band,prev_x_delta_bucket,next_x_delta_bucket		parser ordered sibling block/line context	P1	Neighbor x-delta proxies exist, but no sibling-set similarity feature exists.
list_item_vs_paragraph	wrapped_line_candidate	weak	continuation_indent_like,continuation_after_marker_prev,continuation_before_marker_next		parser line grouping	P0	Current weak proxies need actual line-break/merge evidence.
list_item_vs_paragraph	line_start_pattern	weak	starts_bullet,starts_numbered,starts_with_alpha_marker,starts_with_roman_marker,starts_with_paren_marker	text	text	P1	Can be emitted as a compact enum for audit and retraining.
list_item_vs_paragraph	numbering_prefix_kind	already_available	rich_list_marker_type,list_marker_type	text		P0	Present as numeric marker type; iter3 preview can expose a named enum.
paragraph_list_item_vs_heading	font_size_delta_to_page_median	requires_parser_export			parser font/span style export	P0	No font size columns exist in baseline_v3.
paragraph_list_item_vs_heading	font_size_delta_to_neighbor_body	requires_parser_export			parser font/span style plus neighbor body density	P0	No font columns and no body-density guard are available.
paragraph_list_item_vs_heading	short_text_score	already_available	short_text,very_short_text,token_count	text,token_count		P1	Binary short flags exist; a score can make thresholding/audit easier.
paragraph_list_item_vs_heading	titlecase_ratio	already_available	title_token_ratio	text		P1	Existing title_token_ratio covers this.
paragraph_list_item_vs_heading	uppercase_ratio	already_available	upper_ratio,all_caps_ratio	text		P1	Existing upper/all-caps ratios cover this.
paragraph_list_item_vs_heading	ends_with_period	already_available	ends_period,has_terminal_period	text		P1	Existing period flags cover this.
paragraph_list_item_vs_heading	body_density_after	weak	next_text_len_norm,text_density_bucket,next_overlap_ratio_bucket		parser line/block density around candidate	P0	Current text-density proxy is local, not a robust body-density-after guard.
paragraph_list_item_vs_heading	section_number_prefix	already_available	section_number_prefix,section_prefix_depth	text		P1	Available as binary and depth features.
paragraph_list_item_vs_heading	neighbor_body_density	weak	prev_text_len_norm,next_text_len_norm,prev_width_ratio,next_width_ratio		parser neighbor paragraph density features	P0	Do not use predicted paragraph labels as input; derive density from parser text/geometry only.
paragraph_list_item_vs_heading	heading_shape_guard	weak	heading_like_short,heading_like_gap_before,heading_like_gap_after,isolated_heading_like	text,prev_gap_norm,next_gap_norm	font/style and body-density signals	P0	Current shape proxy lacks font delta and neighbor body-density checks.
