level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	529	174	-1	
2	1	1	0	0	0	35	28	99	32	-1	
3	1	1	1	0	0	35	28	99	32	-1	
4	1	1	1	1	0	35	28	99	32	-1	
5	1	1	1	1	1	35	28	76	32	94.991806	Page
5	1	1	1	1	2	125	28	9	25	94.991806	1
2	1	2	0	0	0	34	114	461	32	-1	
3	1	2	1	0	0	34	114	461	32	-1	
4	1	2	1	1	0	34	114	461	32	-1	
5	1	2	1	1	1	34	114	91	32	96.834923	Signal
5	1	2	1	1	2	138	115	53	24	96.848076	text
5	1	2	1	1	3	202	114	118	25	96.656456	remains
5	1	2	1	1	4	331	114	66	25	96.434853	after
5	1	2	1	1	5	408	114	87	25	96.926773	noise.
