label_file	row_count	label_distribution	recommended_task	recommended_layer	recommended_model_target	recommended_action	suspected_pdf_path	match_confidence	notes
bookreporter_pdf.tsv	28	"{""footer_header_noise"": 1, ""keep_as_text"": 16, ""list_item"": 8, ""paragraph"": 2, ""separator"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
epubcheck_preview_pdf.tsv	33	"{""footer_header_noise"": 4, ""heading"": 2, ""keep_as_text"": 7, ""link_text"": 2, ""list_item"": 7, ""paragraph"": 9, ""separator"": 2}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
epubcheck_preview_pdf_round4.tsv	30	"{""footer_header_noise"": 4, ""heading"": 2, ""keep_as_text"": 8, ""list_item"": 6, ""paragraph"": 8, ""separator"": 2}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
fips197_public_pdf.tsv	6	"{""caption"": 3, ""link_text"": 1, ""paragraph"": 2}"	convert_block_classification	convert/pdf	convert_block_classifier	add_to_manifest_after_path_confirmed	markitdown-quality-lab/pdf_model_training/datasets/public_gov/fips197.pdf	medium	existing labeled candidate; path confirmation required before activation
fips202_public_pdf.tsv	6	"{""caption"": 2, ""link_text"": 1, ""paragraph"": 3}"	convert_block_classification	convert/pdf	convert_block_classifier	add_to_manifest_after_path_confirmed	markitdown-quality-lab/pdf_model_training/datasets/public_docs/NIST.FIPS.202.pdf	medium	existing labeled candidate; path confirmation required before activation
hardwrap_zh_pdf.tsv	5	"{""footer_header_noise"": 1, ""heading"": 2, ""paragraph"": 2}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
masterformat_partial_numbering.tsv	9	"{""footer_header_noise"": 1, ""heading"": 3, ""list_item"": 3, ""paragraph"": 2}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
md_receipt_small_pdf.tsv	39	"{""footer_header_noise"": 1, ""form_row"": 18, ""heading"": 1, ""paragraph"": 12, ""separator"": 7}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
md_test_pdf.tsv	17	"{""footer_header_noise"": 3, ""heading"": 1, ""paragraph"": 13}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
not_heading_sentence.tsv	4	"{""paragraph"": 4}"	convert_block_classification	convert/pdf	convert_block_classifier	add_to_manifest_after_path_confirmed	samples/main_process/pdf/not_heading_sentence.pdf	medium	existing labeled candidate; path confirmation required before activation
pdf_annotation_border_styles_pdfjs.tsv	1	"{""link_text"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	add_to_manifest_after_path_confirmed	markitdown-quality-lab/pdf_model_training/datasets/pdfjs_extra2/annotation-border-styles.pdf	medium	existing labeled candidate; path confirmation required before activation
pdf_annotation_link_text_popup_pdfjs.tsv	3	"{""link_text"": 1, ""paragraph"": 2}"	convert_block_classification	convert/pdf	convert_block_classifier	add_to_manifest_after_path_confirmed		low	existing labeled candidate; path confirmation required before activation
pdf_booking_layout_markitdown_movie.tsv	121	"{""form_row"": 33, ""heading"": 5, ""paragraph"": 5, ""table_like"": 78}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdf_cjk_text_pdfjs_simfang_variant.tsv	1	"{""paragraph"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdf_cjk_text_pdfjs_xiaobiaosong.tsv	16	"{""paragraph"": 13, ""separator"": 3}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdf_internal_dest_links_qpdf_link_annots.tsv	2	"{""footer_header_noise"": 1, ""link_text"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdf_internal_goto_link_pdfjs_page_with_number_and_link.tsv	9	"{""footer_header_noise"": 8, ""link_text"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdf_metadata_image_caption.tsv	1	"{""caption"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdf_metadata_noise_merge.tsv	6	"{""footer_header_noise"": 4, ""paragraph"": 2}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdf_metadata_text_structure.tsv	8	"{""footer_header_noise"": 2, ""heading"": 3, ""paragraph"": 3}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdf_metadata_uri_link.tsv	1	"{""paragraph"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdf_page_noise_cleanup_noise.tsv	16	"{""footer_header_noise"": 12, ""paragraph"": 4}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdf_repeated_header_footer_variants.tsv	18	"{""footer_header_noise"": 12, ""heading"": 3, ""paragraph"": 3}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdf_type0_identity_no_tounicode_pdfjs_arial_unicode_en_cidfont.tsv	1	"{""paragraph"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdf_uri_link_basic.tsv	1	"{""paragraph"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdfbox_survey_pdf.tsv	8	"{""footer_header_noise"": 8}"	convert_block_classification	convert/pdf	convert_block_classifier	add_to_manifest_after_path_confirmed	markitdown-quality-lab/pdf_model_training/datasets/pdfbox_extra/survey.pdf	medium	existing labeled candidate; path confirmation required before activation
pdfjs_annotation_fileattachment.tsv	1	"{""keep_as_text"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdfjs_annotation_freetext.tsv	1	"{""keep_as_text"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdfjs_annotation_text_without_popup.tsv	2	"{""footer_header_noise"": 1, ""keep_as_text"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdfjs_extract_link.tsv	2	"{""link_text"": 1, ""paragraph"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdfjs_file_url_link.tsv	1	"{""link_text"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
pdfjs_paragraph_and_link.tsv	2	"{""paragraph"": 2}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
repair_2022_inv_001_multipage_pdf.tsv	4	"{""form_row"": 4}"	convert_block_classification	convert/pdf	convert_block_classifier	schema_review		low	existing labels look useful, but sample-to-pdf mapping should be reviewed before manifest activation
rfc8446_public_pdf.tsv	2	"{""caption"": 1, ""paragraph"": 1}"	convert_block_classification	convert/pdf	convert_block_classifier	add_to_manifest_after_path_confirmed	markitdown-quality-lab/pdf_model_training/datasets/public_docs/RFC8446.pdf	medium	existing labeled candidate; path confirmation required before activation
