split	label	label_group	threshold	total_gold_count	predicted_label_count	emitted_count	correct_emitted_count	high_conf_precision	recall_on_gold	prediction_coverage	abstain_or_block_count	meets_target_precision
heldout	heading	runtime_eligible	0.50	1715	2057	1899	1464	0.7709	0.8536	0.9232	9224	false
heldout	heading	runtime_eligible	0.55	1715	2057	1824	1434	0.7862	0.8362	0.8867	9299	false
heldout	heading	runtime_eligible	0.60	1715	2057	1738	1396	0.8032	0.8140	0.8449	9385	false
heldout	heading	runtime_eligible	0.65	1715	2057	1667	1367	0.8200	0.7971	0.8104	9456	false
heldout	heading	runtime_eligible	0.70	1715	2057	1577	1327	0.8415	0.7738	0.7667	9546	false
heldout	heading	runtime_eligible	0.75	1715	2057	1471	1274	0.8661	0.7429	0.7151	9652	false
heldout	heading	runtime_eligible	0.80	1715	2057	1376	1217	0.8844	0.7096	0.6689	9747	false
heldout	heading	runtime_eligible	0.85	1715	2057	1250	1135	0.9080	0.6618	0.6077	9873	true
heldout	heading	runtime_eligible	0.90	1715	2057	1091	1029	0.9432	0.6000	0.5304	10032	true
heldout	heading	runtime_eligible	0.95	1715	2057	839	814	0.9702	0.4746	0.4079	10284	true
heldout	paragraph	runtime_eligible	0.50	4393	4319	4126	3555	0.8616	0.8092	0.9553	6997	false
heldout	paragraph	runtime_eligible	0.55	4393	4319	3970	3470	0.8741	0.7899	0.9192	7153	false
heldout	paragraph	runtime_eligible	0.60	4393	4319	3802	3376	0.8880	0.7685	0.8803	7321	false
heldout	paragraph	runtime_eligible	0.65	4393	4319	3640	3273	0.8992	0.7450	0.8428	7483	false
heldout	paragraph	runtime_eligible	0.70	4393	4319	3436	3130	0.9109	0.7125	0.7956	7687	true
heldout	paragraph	runtime_eligible	0.75	4393	4319	3234	2974	0.9196	0.6770	0.7488	7889	true
heldout	paragraph	runtime_eligible	0.80	4393	4319	2996	2792	0.9319	0.6356	0.6937	8127	true
heldout	paragraph	runtime_eligible	0.85	4393	4319	2676	2524	0.9432	0.5746	0.6196	8447	true
heldout	paragraph	runtime_eligible	0.90	4393	4319	2265	2164	0.9554	0.4926	0.5244	8858	true
heldout	paragraph	runtime_eligible	0.95	4393	4319	1560	1517	0.9724	0.3453	0.3612	9563	true
heldout	caption	runtime_eligible	0.50	286	309	269	170	0.6320	0.5944	0.8706	10854	false
heldout	caption	runtime_eligible	0.55	286	309	250	166	0.6640	0.5804	0.8091	10873	false
heldout	caption	runtime_eligible	0.60	286	309	234	162	0.6923	0.5664	0.7573	10889	false
heldout	caption	runtime_eligible	0.65	286	309	222	158	0.7117	0.5524	0.7184	10901	false
heldout	caption	runtime_eligible	0.70	286	309	211	154	0.7299	0.5385	0.6828	10912	false
heldout	caption	runtime_eligible	0.75	286	309	187	144	0.7701	0.5035	0.6052	10936	false
heldout	caption	runtime_eligible	0.80	286	309	167	133	0.7964	0.4650	0.5405	10956	false
heldout	caption	runtime_eligible	0.85	286	309	152	126	0.8289	0.4406	0.4919	10971	false
heldout	caption	runtime_eligible	0.90	286	309	122	106	0.8689	0.3706	0.3948	11001	false
heldout	caption	runtime_eligible	0.95	286	309	95	86	0.9053	0.3007	0.3074	11028	true
heldout	table_like	runtime_eligible	0.50	424	442	434	377	0.8687	0.8892	0.9819	10689	false
heldout	table_like	runtime_eligible	0.55	424	442	428	376	0.8785	0.8868	0.9683	10695	false
heldout	table_like	runtime_eligible	0.60	424	442	423	372	0.8794	0.8774	0.9570	10700	false
heldout	table_like	runtime_eligible	0.65	424	442	415	367	0.8843	0.8656	0.9389	10708	false
heldout	table_like	runtime_eligible	0.70	424	442	408	363	0.8897	0.8561	0.9231	10715	false
heldout	table_like	runtime_eligible	0.75	424	442	394	355	0.9010	0.8373	0.8914	10729	true
heldout	table_like	runtime_eligible	0.80	424	442	380	349	0.9184	0.8231	0.8597	10743	true
heldout	table_like	runtime_eligible	0.85	424	442	369	343	0.9295	0.8090	0.8348	10754	true
heldout	table_like	runtime_eligible	0.90	424	442	356	331	0.9298	0.7807	0.8054	10767	true
heldout	table_like	runtime_eligible	0.95	424	442	340	319	0.9382	0.7524	0.7692	10783	true
heldout	list_item	runtime_eligible	0.50	3378	3092	2901	2531	0.8725	0.7493	0.9382	8222	false
heldout	list_item	runtime_eligible	0.55	3378	3092	2758	2445	0.8865	0.7238	0.8920	8365	false
heldout	list_item	runtime_eligible	0.60	3378	3092	2613	2357	0.9020	0.6978	0.8451	8510	true
heldout	list_item	runtime_eligible	0.65	3378	3092	2468	2251	0.9121	0.6664	0.7982	8655	true
heldout	list_item	runtime_eligible	0.70	3378	3092	2325	2145	0.9226	0.6350	0.7519	8798	true
heldout	list_item	runtime_eligible	0.75	3378	3092	2163	2018	0.9330	0.5974	0.6995	8960	true
heldout	list_item	runtime_eligible	0.80	3378	3092	2013	1895	0.9414	0.5610	0.6510	9110	true
heldout	list_item	runtime_eligible	0.85	3378	3092	1848	1748	0.9459	0.5175	0.5977	9275	true
heldout	list_item	runtime_eligible	0.90	3378	3092	1626	1558	0.9582	0.4612	0.5259	9497	true
heldout	list_item	runtime_eligible	0.95	3378	3092	1212	1183	0.9761	0.3502	0.3920	9911	true
heldout	footer_header_noise	runtime_eligible	0.50	695	697	690	674	0.9768	0.9698	0.9900	10433	true
heldout	footer_header_noise	runtime_eligible	0.55	695	697	687	673	0.9796	0.9683	0.9857	10436	true
heldout	footer_header_noise	runtime_eligible	0.60	695	697	681	668	0.9809	0.9612	0.9770	10442	true
