id	format	path	source_type	source_id	license_status	license_review_status	privacy	size_class	features	expected_signals	quality_tier	original_url	local_cache_path	notes	proposed_rel_path	migration_action	migration_note	quality_tags	quality_note	proposed_expected_fail	proposed_skip_reason	validation_view
docx_complex01_textbox_inline	docx	external_accurate/docx/openxml-sdk/Complex01.docx	tool_fixture	openxml_sdk_tests	MIT	approved	external_cache	large	docx;accurate;textbox;notes_appendix	no_empty_output;contains:Eric White<br>This is my interesting abstract.;contains:Here is a text box.;max_count:## Text Boxes=0;order:Eric White<br>This is my interesting abstract.|Here is a text box.	gate	https://github.com/dotnet/Open-XML-SDK/blob/main/test/DocumentFormat.OpenXml.Tests.Assets/assets/TestFiles/Complex01.docx	external_accurate/docx/openxml-sdk	Open XML SDK complex DOCX accurate guard; requires textbox content to stay in the body flow instead of falling back to the legacy appendix path.								markdown
docx_svg_alternate_content_debug	docx	external_accurate/docx/openxml-sdk/svg.docx	tool_fixture	openxml_sdk_tests	MIT	approved	external_cache	small	docx;accurate;alternate_content;asset_export	no_empty_output;contains:docx_alternate_content_restore;contains:docx_notes_appendix;contains:assets/image01.png	gate	https://github.com/dotnet/Open-XML-SDK/blob/main/test/DocumentFormat.OpenXml.Tests.Assets/assets/TestFiles/svg.docx	external_accurate/docx/openxml-sdk	Open XML SDK SVG-backed DOCX accurate debug guard; keeps AlternateContent evidence visible in the applied accurate feature metrics.								debug
docx_textbox_basic_repo_accurate_counts	docx	external_accurate/repo_local/docx/docx_textbox_basic.docx	tool_fixture	markitdown_repo_office_samples	Apache-2.0	approved	repo_tracked	small	docx;textbox;accurate;repo_sample;count_guard	no_empty_output;exact_count:Body before.=1;exact_count:Text box body.=1;exact_count:Body after.=1;max_count:## Text Boxes=0;order:Body before.|Text box body.|Body after.	gate	https://github.com/ZSeanYves/markitdown/blob/main/external_accurate/repo_local/docx/docx_textbox_basic.docx	external_accurate/repo_local/docx	Local-only repo DOCX accurate guard on textbox anchoring; catches fallback appendix emission and keeps the anchored textbox text in body reading order.								markdown
xlsx_hidden_sheets_apache_poi_accurate	xlsx	external_accurate/xlsx/apache-poi/TwoSheetsOneHidden.xlsx	tool_fixture	apache_poi_tests	Apache-2.0	approved	external_cache	small	xlsx;accurate;hidden_sheet	no_empty_output;contains_all:## Sheet1|Sheet1A1|## Sheet2|Sheet2A1;order:## Sheet1|Sheet1A1|## Sheet2|Sheet2A1;max_count:(empty sheet)=0	gate	https://github.com/apache/poi/blob/trunk/test-data/spreadsheet/TwoSheetsOneHidden.xlsx	external_accurate/xlsx/apache-poi	Apache POI hidden-sheet accurate guard; requires the hidden sheet to materialize ahead of the visible sheet content.								markdown
xlsx_hidden_rows_apache_poi_accurate	xlsx	external_accurate/xlsx/apache-poi/GroupTest.xlsx	tool_fixture	apache_poi_tests	Apache-2.0	approved	external_cache	small	xlsx;accurate;hidden_rows	no_empty_output;exact_count:| inner |=10;exact_count:| expanded |=7;exact_count:| collapsed |=8;table_marker;order:## Sheet1|inner|expanded|collapsed	gate	https://github.com/apache/poi/blob/trunk/test-data/spreadsheet/GroupTest.xlsx	external_accurate/xlsx/apache-poi	Apache POI grouped-row accurate guard; requires hidden grouped rows to stay visible on the accurate path.								markdown
xlsx_merged_spans_xlsxwriter_accurate	xlsx	external_accurate/xlsx/xlsxwriter/generated/merge1.xlsx	tool_fixture	xlsxwriter_examples	BSD-2-Clause	approved	external_cache	small	xlsx;accurate;merged_cells;spans	no_empty_output;contains_all:<table>|<th colspan="3">Merged Range</th>|<td rowspan="2" colspan="3">Merged Range</td>;max_count:| Merged Range |=0;order:<table>|<th colspan="3">Merged Range</th>|<td rowspan="2" colspan="3">Merged Range</td>|</table>	gate	https://github.com/jmcnamara/XlsxWriter/blob/main/examples/merge1.py	external_accurate/xlsx/xlsxwriter	Accurate merged-span guard on the XlsxWriter merge example; requires span-aware HTML output instead of duplicated one-column Markdown.								markdown
xlsx_hidden_sheets_policy_repo_accurate_counts	xlsx	external_accurate/repo_local/xlsx/xlsx_hidden_sheets_policy.xlsx	tool_fixture	markitdown_repo_office_samples	Apache-2.0	approved	repo_tracked	small	xlsx;hidden_sheet;accurate;repo_sample;count_guard	no_empty_output;exact_count:## Visible=1;exact_count:## HiddenData=1;exact_count:## VeryHiddenAudit=1;exact_count:| Public | Value |=1;exact_count:| secret |=1;exact_count:| classification | veryHidden |=1;max_count:(empty sheet)=0;table_marker;order:## Visible|alpha|## HiddenData|secret|## VeryHiddenAudit|classification	gate	https://github.com/ZSeanYves/markitdown/blob/main/external_accurate/repo_local/xlsx/xlsx_hidden_sheets_policy.xlsx	external_accurate/repo_local/xlsx	Local-only repo XLSX accurate guard on hidden-sheet policy; catches regressions back to visible-only output and requires very-hidden sheet materialization.								markdown
pptx_group_summary_python_pptx_accurate	pptx	external_accurate/pptx/python-pptx/shp-groupshape.pptx	tool_fixture	python_pptx_tests	MIT	approved	external_cache	small	pptx;accurate;group_summary	no_empty_output;contains:[PPTX grouped decorative shapes: Group 4;contains:children=3;max_count:[PPTX decorative shape omitted=0	gate	https://github.com/scanny/python-pptx	external_accurate/pptx/python-pptx	python-pptx grouped-shape accurate guard; collapses decorative child shapes into one group summary marker.								markdown
pptx_reading_order_python_pptx_accurate	pptx	external_accurate/pptx/python-pptx/test_slides.pptx	tool_fixture	python_pptx_tests	MIT	approved	external_cache	medium	pptx;accurate;reading_order;visual_only	no_empty_output;contains:![slide-1-image-1](assets/image01.jpeg);contains:![slide-1-image-2](assets/image02.gif);contains:[PPTX visual-only objects omitted: connector: Straight Arrow Connector 14];not_contains:![slide-1-image-1](assets/image01.gif);order:Test text|Group test text|![slide-1-image-1](assets/image01.jpeg)|Box 1|Box 2|![slide-1-image-2](assets/image02.gif)	gate	https://github.com/scanny/python-pptx	external_accurate/pptx/python-pptx	python-pptx reading-order accurate guard; requires the recovered slide order and the current visual-only object summary marker.								markdown
pptx_notes_python_pptx_debug	pptx	external_accurate/pptx/python-pptx/sld-notes.pptx	tool_fixture	python_pptx_tests	MIT	approved	external_cache	small	pptx;accurate;notes	no_empty_output;contains:pptx_notes_appendix;contains:pptx_hidden_slide_semantics;contains:Speaker Notes	gate	https://github.com/scanny/python-pptx/blob/master/features/steps/test_files/sld-notes.pptx	external_accurate/pptx/python-pptx	python-pptx notes accurate debug guard; keeps the notes-path feature evidence visible on the debug surface.								debug
