local_path	source_url	project	license	license_url	reason	tags	downloaded_at
files/apache_poi_complex_numbered_lists.docx	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/ComplexNumberedLists.docx	Apache POI	Apache-2.0	https://raw.githubusercontent.com/apache/poi/trunk/legal/LICENSE	numbering/list restarts and complex numbered lists	numbering;lists;restart	2026-06-06T08:11:08
files/apache_poi_numbering_overrides.docx	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/NumberingWOverrides.docx	Apache POI	Apache-2.0	https://raw.githubusercontent.com/apache/poi/trunk/legal/LICENSE	numbering overrides	numbering;overrides	2026-06-06T08:11:08
files/apache_poi_diff_first_page_headfoot.docx	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/DiffFirstPageHeadFoot.docx	Apache POI	Apache-2.0	https://raw.githubusercontent.com/apache/poi/trunk/legal/LICENSE	first/default header footer slots	headers;footers;sections	2026-06-06T08:11:08
files/apache_poi_field_codes.docx	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/FieldCodes.docx	Apache POI	Apache-2.0	https://raw.githubusercontent.com/apache/poi/trunk/legal/LICENSE	complex field codes	fields	2026-06-06T08:11:08
files/apache_poi_fld_simple.docx	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/FldSimple.docx	Apache POI	Apache-2.0	https://raw.githubusercontent.com/apache/poi/trunk/legal/LICENSE	simple field instruction/result	fields;fldSimple	2026-06-06T08:11:08
files/apache_poi_table_columns.docx	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/TestTableColumns.docx	Apache POI	Apache-2.0	https://raw.githubusercontent.com/apache/poi/trunk/legal/LICENSE	table column and grid handling	tables;grid	2026-06-06T08:11:08
files/apache_poi_various_pictures.docx	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/VariousPictures.docx	Apache POI	Apache-2.0	https://raw.githubusercontent.com/apache/poi/trunk/legal/LICENSE	multiple picture formats	images;drawings	2026-06-06T08:11:08
files/apache_poi_drawing.docx	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/drawing.docx	Apache POI	Apache-2.0	https://raw.githubusercontent.com/apache/poi/trunk/legal/LICENSE	drawing markup	drawings;images	2026-06-06T08:11:08
files/apache_poi_shapes_with_text.docx	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/shapes-with-text.docx	Apache POI	Apache-2.0	https://raw.githubusercontent.com/apache/poi/trunk/legal/LICENSE	VML/text shapes with text	vml;shapes;textbox	2026-06-06T08:11:08
files/apache_poi_smarttag_snippet.docx	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/smarttag-snippet.docx	Apache POI	Apache-2.0	https://raw.githubusercontent.com/apache/poi/trunk/legal/LICENSE	smartTag wrappers	smartTag;content-wrapper	2026-06-06T08:11:08
files/apache_poi_delins.docx	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/delins.docx	Apache POI	Apache-2.0	https://raw.githubusercontent.com/apache/poi/trunk/legal/LICENSE	tracked insertion/deletion markup	tracked-changes;ins;del	2026-06-06T08:11:08
files/python_docx_blk_inner_content.docx	https://raw.githubusercontent.com/python-openxml/python-docx/master/tests/test_files/blk-inner-content.docx	python-docx	MIT	https://raw.githubusercontent.com/python-openxml/python-docx/master/LICENSE	block inner content fixture	tables;paragraphs;sections	2026-06-06T08:11:08
files/python_docx_sct_inner_content.docx	https://raw.githubusercontent.com/python-openxml/python-docx/master/tests/test_files/sct-inner-content.docx	python-docx	MIT	https://raw.githubusercontent.com/python-openxml/python-docx/master/LICENSE	section inner content fixture	sections;headers;footers	2026-06-06T08:11:08
files/python_docx_having_images.docx	https://raw.githubusercontent.com/python-openxml/python-docx/master/tests/test_files/having-images.docx	python-docx	MIT	https://raw.githubusercontent.com/python-openxml/python-docx/master/LICENSE	known image fixture	images;assets	2026-06-06T08:11:08
files/mammoth_comments.docx	https://raw.githubusercontent.com/mwilliamson/mammoth.js/master/test/test-data/comments.docx	mammoth.js	BSD-2-Clause	https://raw.githubusercontent.com/mwilliamson/mammoth.js/master/LICENSE	comments fixture	comments	2026-06-06T08:11:08
files/mammoth_endnotes.docx	https://raw.githubusercontent.com/mwilliamson/mammoth.js/master/test/test-data/endnotes.docx	mammoth.js	BSD-2-Clause	https://raw.githubusercontent.com/mwilliamson/mammoth.js/master/LICENSE	endnotes fixture	endnotes;notes	2026-06-06T08:11:08
files/mammoth_footnote_hyperlink.docx	https://raw.githubusercontent.com/mwilliamson/mammoth.js/master/test/test-data/footnote-hyperlink.docx	mammoth.js	BSD-2-Clause	https://raw.githubusercontent.com/mwilliamson/mammoth.js/master/LICENSE	footnote hyperlink fixture	footnotes;hyperlinks	2026-06-06T08:11:08
files/mammoth_text_box.docx	https://raw.githubusercontent.com/mwilliamson/mammoth.js/master/test/test-data/text-box.docx	mammoth.js	BSD-2-Clause	https://raw.githubusercontent.com/mwilliamson/mammoth.js/master/LICENSE	text box fixture	textbox;vml	2026-06-06T08:11:08
files/mammoth_tables.docx	https://raw.githubusercontent.com/mwilliamson/mammoth.js/master/test/test-data/tables.docx	mammoth.js	BSD-2-Clause	https://raw.githubusercontent.com/mwilliamson/mammoth.js/master/LICENSE	table fixture	tables	2026-06-06T08:11:08
