rank	split	gold_label	predicted_label	confidence_bucket	margin_bucket	count	avg_confidence	avg_margin	max_confidence	max_margin	predicted_label_group	accepted_error_count_at_selected_gate	recommended_next_action
1	heldout	list_item	paragraph	0.70-0.90	>=0.30	158	0.7974	0.6110	0.8995	0.8466	runtime_eligible	158	feature: strengthen list markers, indentation, and continuation context
2	heldout	list_item	heading	0.70-0.90	>=0.30	98	0.8044	0.6714	0.8997	0.8356	runtime_eligible	98	feature/data: add heading-shape guards and clean title-vs-body ambiguity
3	heldout	list_item	paragraph	>=0.90	>=0.30	82	0.9460	0.9003	0.9968	0.9940	runtime_eligible	82	feature: strengthen list markers, indentation, and continuation context
4	heldout	paragraph	list_item	0.70-0.90	>=0.30	81	0.8039	0.6396	0.8993	0.8271	runtime_eligible	81	feature: strengthen list markers, indentation, and continuation context
5	heldout	list_item	paragraph	0.50-0.70	0.15-0.30	73	0.5813	0.2216	0.6436	0.2982	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
6	heldout	list_item	paragraph	0.50-0.70	>=0.30	71	0.6449	0.3768	0.6966	0.5496	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
7	heldout	paragraph	heading	0.70-0.90	>=0.30	59	0.7994	0.6523	0.8968	0.8371	runtime_eligible	59	feature/data: add heading-shape guards and clean title-vs-body ambiguity
8	heldout	paragraph	list_item	0.50-0.70	>=0.30	59	0.6346	0.3772	0.6987	0.5238	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
9	heldout	list_item	heading	0.50-0.70	>=0.30	52	0.6274	0.4015	0.6999	0.5648	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
10	heldout	paragraph	list_item	>=0.90	>=0.30	50	0.9387	0.8848	0.9789	0.9657	runtime_eligible	50	feature: strengthen list markers, indentation, and continuation context
11	heldout	paragraph	list_item	0.50-0.70	0.15-0.30	40	0.5766	0.2185	0.6383	0.2981	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
12	heldout	paragraph	heading	0.50-0.70	>=0.30	35	0.6294	0.4110	0.6938	0.5071	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
