bench_id	format	source_group	source_url	landing_url	license_spdx	license_url	terms_url	redistributable	enabled_tier	review_status	target_rel_path	size_class	actual_size_class	download_status	download_error	source_version	notes
pdf_irs_p17	pdf	irs_publications	https://www.irs.gov/pub/irs-pdf/p17.pdf	https://www.irs.gov/forms-pubs/about-publication-17	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		yes	disabled	reviewed_candidate	pdf/irs_publications/medium/p17.pdf	medium	medium	reused		current	Smoke moved to smaller Form 1040 because Pub 17 is too slow for matrix compare.
pdf_irs_f1040	pdf	irs_publications	https://www.irs.gov/pub/irs-pdf/f1040.pdf	https://www.irs.gov/forms-pubs/about-form-1040	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		yes	smoke	reviewed_candidate	pdf/irs_publications/small/f1040.pdf	small	small	reused		current	
pdf_irs_p15	pdf	irs_publications	https://www.irs.gov/pub/irs-pdf/p15.pdf	https://www.irs.gov/forms-pubs/about-publication-15	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		yes	disabled	reviewed_candidate	pdf/irs_publications/medium/p15.pdf	medium	medium	reused		current	
pdf_nist_800_53r5	pdf	nist_publications	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53r5.pdf	https://csrc.nist.gov/publications/detail/sp/800-53/rev-5/final	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		yes	disabled	reviewed_candidate	pdf/nist_publications/large/NIST.SP.800-53r5.pdf	large	medium	reused		current	
pdf_nist_800_61r2	pdf	nist_publications	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-61r2.pdf	https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		yes	disabled	reviewed_candidate	pdf/nist_publications/medium/NIST.SP.800-61r2.pdf	medium	medium	reused		current	
pdf_nist_800_171r3	pdf	nist_publications	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-171r3.pdf	https://csrc.nist.gov/publications/detail/sp/800-171/rev-3/final	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		yes	disabled	reviewed_candidate	pdf/nist_publications/medium/NIST.SP.800-171r3.pdf	medium	medium	reused		current	
pdf_nist_800_207	pdf	nist_publications	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207.pdf	https://csrc.nist.gov/publications/detail/sp/800-207/final	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		yes	disabled	reviewed_candidate	pdf/nist_publications/medium/NIST.SP.800-207.pdf	medium	small	reused		current	
pdf_nist_800_218	pdf	nist_publications	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf	https://csrc.nist.gov/publications/detail/sp/800-218/final	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		yes	disabled	reviewed_candidate	pdf/nist_publications/medium/NIST.SP.800-218.pdf	medium	small	reused		current	
pdf_nist_ai_rmf	pdf	nist_publications	https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf	https://www.nist.gov/itl/ai-risk-management-framework	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		yes	disabled	reviewed_candidate	pdf/nist_publications/medium/NIST.AI.100-1.pdf	medium	medium	reused		current	
pdf_govinfo_budget_2025	pdf	govinfo	https://www.govinfo.gov/content/pkg/BUDGET-2025-BUD/pdf/BUDGET-2025-BUD.pdf	https://www.govinfo.gov/app/details/BUDGET-2025-BUD	LicenseRef-US-Gov-Public-Domain	https://www.usa.gov/government-copyright		yes	disabled	reviewed_candidate	pdf/govinfo/large/BUDGET-2025-BUD.pdf	large		catalog_only		current	Catalog only for now; large govinfo PDF left out of default download.
docx_rail_cif_notes	docx	opendatani	https://admin.opendatani.gov.uk/dataset/e41b1057-b0bd-4419-95eb-77057c8ad6b0/resource/00dc6365-8b56-434f-8889-a39582a2eec6/download/rail-cif-file-supplementary-notes.docx	https://www.data.gov.uk/dataset/e41b1057-b0bd-4419-95eb-77057c8ad6b0/nir20160126v2	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	docx/opendatani/medium/rail-cif-file-supplementary-notes.docx	medium		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
