id	source_name	formats	source_type	url	license_status	redistributable	recommended_use	download_mode	local_cache	priority	notes
microsoft_markitdown_tests	Microsoft MarkItDown tests	mixed	tool_fixture	https://github.com/microsoft/markitdown	needs_review	unknown_until_reviewed	same_category_tool_fixture	manual_or_git_sparse	external_quality/archive/markitdown-repo	p0	upstream tool samples are practical conversion references, but code license and fixture/sample terms must be reviewed separately before any vendoring; XML RSS rows remain runtime guards only and are not strict XML-real accepted until license review closes
cpython_xml_tests	CPython XML test fixtures	xml	tool_fixture	https://github.com/python/cpython/tree/main/Lib/test/xmltestdata	PSF-2.0	yes	xml_parser_regression_and_literal_passthrough	manual_or_git_sparse	external_quality/xml/cpython	p1	Selected CPython XML test fixtures; attribution: CPython test XML fixtures; XML sample size and sha256 metadata are tracked in XML_SAMPLES.tsv
idpf_epub_testsuite	IDPF EPUB 3 Testsuite	epub	tool_fixture	https://github.com/IDPF/epub-testsuite	CC-BY-4.0	yes	epub_conformance_fixture_controls	manual_or_git_sparse	external_quality/epub/idpf-epub-testsuite	p1	Selected IDPF EPUB 3 Testsuite package fixtures; attribution: IDPF EPUB 3 Testsuite fixtures
idpf_epub_testsuite_pls	IDPF EPUB 3 Testsuite pronunciation lexicon fixtures	xml	tool_fixture	https://github.com/IDPF/epub-testsuite/tree/main/content/parked-tests/epub30-test-0104	CC-BY-4.0	yes	xml_pronunciation_namespace_attribute_guards	manual_or_git_sparse	external_quality/epub/idpf-epub-testsuite-repo/content/parked-tests/epub30-test-0104/EPUB/pls	p1	Selected IDPF EPUB 3 Testsuite PLS XML fixtures; attribution: IDPF EPUB 3 Testsuite pronunciation lexicon fixtures; XML sample size and sha256 metadata are tracked in XML_SAMPLES.tsv
pandoc_tests	Pandoc tests	mixed	tool_fixture	https://github.com/jgm/pandoc	needs_review	unknown_until_reviewed	document_conversion_edge_cases	manual_or_git_sparse	external_quality/archive/pandoc	p1	pandoc fixtures are useful for mixed document edge cases, but must stay manual and locally curated until reviewed
paddleocr_ppstructure_samples	PaddleOCR PP-Structure samples	pdf,image	tool_fixture	https://github.com/PaddlePaddle/PaddleOCR	needs_review	unknown_until_reviewed	visual_layout_reference	manual	external_quality/archive/unknown_source_or_format/paddleocr	p1	treat as visual/layout reference only; code license, model weights, and sample assets all need separate review
tablebank	TableBank	pdf_table,image	public_dataset	https://doc-analysis.github.io/tablebank-page/index.html	Apache-2.0 reported by source, verify dataset terms before use	no_by_default	table_stress_reference	manual_sample_only	external_quality/pdf/archive/tablebank	p2	large table dataset; sample manually after license and redistribution review rather than vendoring broadly
cdla	CDLA	pdf_layout,image	public_dataset	https://github.com/buptlihang/CDLA	needs_review	no_by_default	chinese_layout_reference	manual_sample_only	external_quality/pdf/archive/cdla	p2	use as a Chinese layout reference only after manual license/data review; do not assume redistributability
publaynet	PubLayNet	pdf_layout,image	public_dataset	https://developer.ibm.com/exchanges/data/all/publaynet/	CDLA-Permissive reported by PaddleOCR docs, verify before use	no_by_default	academic_layout_reference	manual_sample_only	pdf_model_training/datasets/publaynet	p3	large academic layout dataset; mainly a layout reference and not direct text-PDF gold for Markdown quality
python_markdown_tests	Python-Markdown tests	markdown	tool_fixture	https://github.com/Python-Markdown/markdown	BSD-3-Clause	yes	markdown_footnote_semantics	manual_or_git_sparse	external_quality/markdown/python-markdown	p1	BSD-3-Clause upstream Markdown fixture subset; selected small footnote fixtures only, with the upstream license file kept beside payloads
irs_forms_public	IRS Forms and Publications	pdf	government_public	https://www.irs.gov/FormsPubs	USGov-PD-reviewed	yes	official_form_pdf_text_flow	manual_review	external_quality/pdf/irs	p1	Source-level IRS audit already tracked under pdf/_audit; only blank official forms selected, with no filled or signed examples
niosh_publications	CDC/NIOSH OSH Publications	pdf	government_public	https://wwwn.cdc.gov/osh_pub_catalog/	public_domain	yes	official_public_domain_manuals	manual_review	external_quality/pdf/niosh	p1	PDF audit records selected NIOSH catalog/publication items as public domain; only official booklet/manual samples selected
