id	source_name	formats	source_type	url	license_status	redistributable	recommended_use	download_mode	local_cache	priority	notes	proposed_source_id	proposed_url	proposed_license	proposed_local_path	migration_note
toml_test_suite	toml-test compliance fixtures	toml	tool_fixture	https://github.com/toml-lang/toml-test	MIT	ok	toml_syntax_edge_case_reference	manual_capture	external_quality/toml/toml-test	p1	MIT TOML parser compliance fixture subset captured locally for structured-text syntax edge cases; focuses on dotted keys, array-of-tables, datetime, multiline strings, and malformed fallback guards	toml_test_suite	https://github.com/toml-lang/toml-test	MIT	external_quality/toml/toml-test	
pydantic_repo_toml	Pydantic project TOML config	toml	public_web	https://github.com/pydantic/pydantic	MIT	ok	real_world_toml_configuration_reference	curl_file	external_quality/toml/pydantic	p1	MIT real-world pyproject.toml captured from the Pydantic repository; useful for table-heavy dependency groups, nested tool.* tables, inline tables, and URL-bearing config content	pydantic_repo_toml	https://github.com/pydantic/pydantic	MIT	external_quality/toml/pydantic	
mdn_content_pages	MDN Web Docs HTML reference pages	html	public_web	https://developer.mozilla.org/en-US/docs/Web/HTML/Reference/Elements/	CC-BY-SA	ok	html_content_root_reference	manual_capture	external_quality/html/mdn	p1	MDN Web Docs HTML reference pages captured locally for content-root selection checks; attribution=MDN Web Docs HTML reference pages; the per-sample size and sha256 closure for HTML-real lives in HTML_SAMPLES.tsv	mdn_content_pages	https://developer.mozilla.org/en-US/docs/Web/HTML/Reference/Elements/	CC-BY-SA	external_quality/html/mdn	
python_markdown_docs	Python-Markdown documentation	markdown	public_web	https://github.com/Python-Markdown/markdown	BSD-3-Clause	ok	markdown_passthrough_and_footnotes	curl_file	external_quality/markdown/python-markdown	p1	Python-Markdown documentation; footnotes extension real Markdown sample with headings, fenced code, blockquote, and footnote definitions; attribution=Python-Markdown documentation, footnotes extension	python_markdown_docs	https://github.com/Python-Markdown/markdown	BSD-3-Clause	external_quality/markdown/python-markdown	
idpf_epub_testsuite	IDPF EPUB testsuite	epub	tool_fixture	https://github.com/IDPF/epub-testsuite	CC-BY-4.0	ok	external_regression_fixture	checked_in_existing	external_quality/epub/idpf-epub-testsuite	p1	CC-BY-4.0 IDPF EPUB tests captured locally for EPUB 3 packaging, nav, scripting, layout-flow, and CFI regression coverage; local cache keeps the upstream license text for provenance and attribution.	idpf_epub_testsuite	https://github.com/IDPF/epub-testsuite	CC-BY-4.0	external_quality/epub/idpf-epub-testsuite	copied from upstream IDPF EPUB tests with local LICENSE.md mirror for provenance
ocr_src_0020	IRS forms and publications	ocr	government_public	https://www.irs.gov/FormsPubs	U.S. government works with per-file review	ok	external_regression_fixture	checked_in_existing	external_quality/ocr/irs	p1	Official IRS OCR seed PDFs retained for form, structured-field, and language-variant OCR regression coverage; local OCR audit note records exact IRS source-group review and file-level front-matter verification.	ocr_src_0020	https://www.irs.gov/FormsPubs	U.S. government works with per-file review	external_quality/ocr/irs	audit note retained at external_quality/ocr/_audit/PROVENANCE.md
ocr_src_0022	Wikimedia Commons File:Photo enforced traffic light sign.JPG	ocr	wikimedia_commons	https://commons.wikimedia.org/wiki/File%3APhoto_enforced_traffic_light_sign.JPG	public-domain dedication	ok	external_regression_fixture	checked_in_existing	external_quality/ocr/commons	p1	Commons OCR negative sample retained with public-domain-dedication provenance anchored to the Commons file page and local OCR audit note.	ocr_src_0022	https://commons.wikimedia.org/wiki/File%3APhoto_enforced_traffic_light_sign.JPG	public-domain dedication	external_quality/ocr/commons	audit note retained at external_quality/ocr/_audit/PROVENANCE.md
ocr_src_0023	Wikimedia Commons File:Ledger-sm2.jpg	ocr	wikimedia_commons	https://commons.wikimedia.org/wiki/File%3ALedger-sm2.jpg	PDM-1.0	ok	external_regression_fixture	checked_in_existing	external_quality/ocr/commons	p1	Commons historical OCR sample retained with PD-USGov / PDM-1.0 provenance anchored to the Commons file page and local OCR audit note.	ocr_src_0023	https://commons.wikimedia.org/wiki/File%3ALedger-sm2.jpg	PDM-1.0	external_quality/ocr/commons	audit note retained at external_quality/ocr/_audit/PROVENANCE.md
ocr_src_0025	Wikimedia Commons File:The menu... (39980813130).jpg	ocr	wikimedia_commons	https://commons.wikimedia.org/wiki/File%3AThe_menu..._%2839980813130%29.jpg	CC-BY-2.0	ok	external_regression_fixture	checked_in_existing	external_quality/ocr/commons	p1	Commons/Flickr OCR scene-text sample retained with CC-BY-2.0 provenance and attribution anchor recorded in the local OCR audit note.	ocr_src_0025	https://commons.wikimedia.org/wiki/File%3AThe_menu..._%2839980813130%29.jpg	CC-BY-2.0	external_quality/ocr/commons	audit note retained at external_quality/ocr/_audit/PROVENANCE.md
ocr_src_0027	Project-owned synthetic OCR seed pages	ocr	self_synthetic	local-generated	project-owned synthetic	ok	external_regression_fixture	checked_in_existing	external_quality/ocr/self_synthetic	p1	Project-owned synthetic OCR seed pages retained for layout, dense text, degradation, language, and table-structure regression coverage; local OCR audit note records project ownership and local-generated provenance.	ocr_src_0027	local-generated	project-owned synthetic	external_quality/ocr/self_synthetic	audit note retained at external_quality/ocr/_audit/PROVENANCE.md
ocr_src_0028	Wikimedia Commons File:Image 579x817 from 0,8 to 7224,10200.jpg	ocr	wikimedia_commons	https://commons.wikimedia.org/wiki/File%3AImage_579x817_from_0%2C8_to_7224%2C10200.jpg	Public domain	ok	external_regression_fixture	checked_in_existing	external_quality/ocr/commons	p1	Commons public-domain OCR layout sample retained with historical public-domain provenance anchored to the Commons file page and local OCR audit note.	ocr_src_0028	https://commons.wikimedia.org/wiki/File%3AImage_579x817_from_0%2C8_to_7224%2C10200.jpg	Public domain	external_quality/ocr/commons	audit note retained at external_quality/ocr/_audit/PROVENANCE.md
ocr_src_0029	Wikimedia Commons File:SCC1.jpg	ocr	wikimedia_commons	https://commons.wikimedia.org/wiki/File%3ASCC1.jpg	Public domain	ok	external_regression_fixture	checked_in_existing	external_quality/ocr/commons	p1	Commons public-domain OCR historical sample retained with provenance anchored to the Commons file page and local OCR audit note.	ocr_src_0029	https://commons.wikimedia.org/wiki/File%3ASCC1.jpg	Public domain	external_quality/ocr/commons	audit note retained at external_quality/ocr/_audit/PROVENANCE.md
ocr_src_0030	Wikimedia Commons File:Arabic newspaper declare formation of the UAR, 1958.jpg	ocr	wikimedia_commons	https://commons.wikimedia.org/wiki/File%3AArabic_newspaper_declare_formation_of_the_UAR%2C_1958.jpg	Public domain	ok	external_regression_fixture	checked_in_existing	external_quality/ocr/commons	p1	Commons public-domain OCR language sample retained with provenance anchored to the Commons file page and local OCR audit note.	ocr_src_0030	https://commons.wikimedia.org/wiki/File%3AArabic_newspaper_declare_formation_of_the_UAR%2C_1958.jpg	Public domain	external_quality/ocr/commons	audit note retained at external_quality/ocr/_audit/PROVENANCE.md
ocr_src_0031	Wikimedia Commons File:Typewriter-writed paper.jpg	ocr	wikimedia_commons	https://commons.wikimedia.org/wiki/File%3ATypewriter-writed_paper.jpg	CC0	ok	external_regression_fixture	checked_in_existing	external_quality/ocr/commons	p1	Commons OCR degradation sample retained with CC0 provenance anchored to the Commons file page and local OCR audit note.	ocr_src_0031	https://commons.wikimedia.org/wiki/File%3ATypewriter-writed_paper.jpg	CC0	external_quality/ocr/commons	audit note retained at external_quality/ocr/_audit/PROVENANCE.md
ocr_src_0032	Wikimedia Commons File:Lat Pau (Chinese newspaper).jpg	ocr	wikimedia_commons	https://commons.wikimedia.org/wiki/File%3ALat_Pau_%28Chinese_newspaper%29.jpg	Public domain	ok	external_regression_fixture	checked_in_existing	external_quality/ocr/commons	p1	Commons public-domain OCR language sample retained with provenance anchored to the Commons file page and local OCR audit note.	ocr_src_0032	https://commons.wikimedia.org/wiki/File%3ALat_Pau_%28Chinese_newspaper%29.jpg	Public domain	external_quality/ocr/commons	audit note retained at external_quality/ocr/_audit/PROVENANCE.md
pdf_src_0001	IRS Forms and Publications	pdf	government_public	https://www.irs.gov/FormsPubs	U.S. government works on IRS.gov with per-file review	ok	external_regression_fixture	checked_in_existing	external_quality/pdf/irs	p1	IRS official PDF source group retained for public-domain style form/manual regression coverage; local audit note records exact retained URL review and publisher identification for IRS.gov samples.	pdf_src_0001	https://www.irs.gov/FormsPubs	U.S. government works on IRS.gov with per-file review	external_quality/pdf/irs	audit note retained at external_quality/pdf/irs/_audit/PROVENANCE.md
pdf_src_0004	NIST Technical Series publications	pdf	government_public	https://www.nist.gov/open/license	NIST Technical Series public-domain in U.S. with worldwide reprint grant	ok	external_regression_fixture	checked_in_existing	external_quality/pdf/nist	p1	NIST technical-series PDF source group retained for public-domain style paper/report regression coverage; local audit note records the official NIST licensing page for this source group.	pdf_src_0004	https://www.nist.gov/open/license	NIST Technical Series public-domain in U.S. with worldwide reprint grant	external_quality/pdf/nist	audit note retained at external_quality/pdf/nist/_audit/PROVENANCE.md
pdfbox_tests	Apache PDFBox tests	pdf	tool_fixture	https://github.com/apache/pdfbox	Apache-2.0	ok	external_regression_fixture	checked_in_existing	external_quality/pdf/pdfbox	p1	Apache-2.0 Apache PDFBox official test PDFs captured locally for annotation, mixed-script text, and simple office-export regression coverage; local cache keeps upstream LICENSE.txt and NOTICE.txt for provenance.	pdfbox_tests	https://github.com/apache/pdfbox	Apache-2.0	external_quality/pdf/pdfbox	copied from upstream pdfbox test resources plus LICENSE-apache-pdfbox.txt and NOTICE-apache-pdfbox.txt
pdfjs_tests	PDF.js tests	pdf	tool_fixture	https://github.com/mozilla/pdf.js	Apache-2.0	ok	external_regression_fixture	checked_in_existing	external_quality/pdf/pdfjs	p1	Apache-2.0 PDF.js official test PDFs captured locally for CJK text extraction, ToUnicode mapping, annotation rendering, forms, and outline/link regression coverage; local cache keeps upstream LICENSE text for provenance.	pdfjs_tests	https://github.com/mozilla/pdf.js	Apache-2.0	external_quality/pdf/pdfjs	copied from upstream test/pdfs fixtures plus LICENSE-pdfjs.txt
python_docx_tests	python-docx tests	docx	tool_fixture	https://github.com/python-openxml/python-docx	MIT	ok	external_regression_fixture	checked_in_existing	external_quality/docx/python-docx	p1	MIT python-docx official test DOCX fixtures captured locally for comments, hyperlinks, inline shapes, numbering, tables, and embedded image regression coverage; local cache keeps upstream LICENSE text for provenance.	python_docx_tests	https://github.com/python-openxml/python-docx	MIT	external_quality/docx/python-docx	copied from upstream test fixtures plus LICENSE-python-docx.txt
python_pptx_tests	python-pptx tests	pptx	tool_fixture	https://github.com/scanny/python-pptx	MIT	ok	external_regression_fixture	checked_in_existing	external_quality/pptx/python-pptx	p1	MIT python-pptx official test PPTX fixtures captured locally for charts, notes, hyperlinks, layouts, media, and shape-tree regression coverage; local cache keeps upstream LICENSE text for provenance.	python_pptx_tests	https://github.com/scanny/python-pptx	MIT	external_quality/pptx/python-pptx	copied from upstream test fixtures plus LICENSE-python-pptx.txt
xlsxwriter_examples	XlsxWriter examples	xlsx	tool_fixture	https://github.com/jmcnamara/XlsxWriter	BSD-2-Clause	ok	external_regression_fixture	checked_in_existing	external_quality/xlsx/xlsxwriter	p1	BSD-2-Clause XlsxWriter example-generated XLSX fixtures captured locally for hyperlinks, comments, merged cells, date formatting, hidden rows/columns, and hidden sheet regression coverage; local cache keeps upstream LICENSE text for provenance.	xlsxwriter_examples	https://github.com/jmcnamara/XlsxWriter	BSD-2-Clause	external_quality/xlsx/xlsxwriter	captured from upstream examples outputs and source scripts plus LICENSE-xlsxwriter.txt
apache_poi_tests	apache_poi_tests	docx,xlsx	tool_fixture	https://github.com/apache/poi	Apache-2.0	ok	external_regression_fixture	checked_in_existing	external_quality/xlsx/apache-poi	p1	Apache-2.0 Apache POI official DOCX and XLSX test fixtures captured locally for comments, bookmarks, notes, tables, hidden sheets, merges, formulas, hyperlinks, and number/date-format regression coverage; local cache keeps upstream legal/LICENSE and legal/NOTICE text for provenance.	apache_poi_tests	https://github.com/apache/poi	Apache-2.0	external_quality/xlsx/apache-poi	copied from upstream Apache POI test-data fixtures plus legal/LICENSE and legal/NOTICE
cpython_xml_tests	cpython_xml_tests	xml	tool_fixture	https://github.com/python/cpython/blob/main/Lib/test/xmltestdata/simple-ns.xml	PSF-2.0	ok	external_regression_fixture	checked_in_existing	external_quality/xml/cpython	p1	PSF-2.0 CPython XML test fixtures captured locally for namespace handling, encoding, and long UTF-8 attribute regression coverage; local cache keeps upstream LICENSE text for provenance.	cpython_xml_tests	https://github.com/python/cpython/blob/main/Lib/test/xmltestdata/simple-ns.xml	PSF-2.0	external_quality/xml/cpython	copied from upstream Lib/test/xmltestdata fixtures plus LICENSE-cpython.txt
idpf_epub_testsuite_pls	idpf_epub_testsuite_pls	xml	tool_fixture	https://github.com/IDPF/epub-testsuite/tree/main/content/parked-tests/epub30-test-0104	CC-BY-4.0	ok	external_regression_fixture	checked_in_existing	external_quality/epub/idpf-epub-testsuite-repo	p1	CC-BY-4.0 IDPF EPUB pronunciation-lexicon XML fixtures captured locally for second-source XML regression coverage; local cache keeps the upstream license text for provenance and attribution.	idpf_epub_testsuite_pls	https://github.com/IDPF/epub-testsuite/tree/main/content/parked-tests/epub30-test-0104	CC-BY-4.0	external_quality/epub/idpf-epub-testsuite-repo	copied from upstream parked-tests subtree with local LICENSE.md retained
irs_forms_public	irs_forms_public	pdf	government_public	https://www.irs.gov/pub/irs-pdf/fw4.pdf	USGov-PD-reviewed	ok	external_regression_fixture	existing_checked_in_or_local_reference	external_quality/pdf/irs	p1	Official IRS W-4 PDF retained for form-field and heading-structure regression coverage; local audit note records exact IRS.gov URL review, front-page publisher identification, and the matching IRS landing page.	irs_forms_public	https://www.irs.gov/pub/irs-pdf/fw4.pdf	USGov-PD-reviewed	external_quality/pdf/irs	per-file audit retained at external_quality/pdf/irs/_audit/PROVENANCE.md
markitdown_repo_samples	markitdown_repo_samples	zip	tool_fixture	https://github.com/ZSeanYves/markitdown/tree/main/external_quality/repo_local/zip	Apache-2.0	ok	repo_local_regression_fixture	repo_tracked	external_quality/repo_local/zip	p1	Repo-local ZIP fixtures owned by the markitdown project; this source group covers the tracked `external_quality/repo_local/zip` samples and the project-owned `external_main_process/zip/rag` metadata ZIP fixtures, with Apache-2.0 provenance anchored by the local repo license mirror.	markitdown_repo_samples	https://github.com/ZSeanYves/markitdown/tree/main/external_quality/repo_local/zip	Apache-2.0	external_quality/repo_local/zip	repointed from legacy sample path to repo_local ZIP fixtures and project-owned metadata ZIP assets
markitdown_repo_pdf_samples	markitdown_repo_pdf_samples	pdf	tool_fixture	https://github.com/ZSeanYves/markitdown/tree/main/external_quality/repo_local/pdf/ocr	Apache-2.0	ok	repo_local_regression_fixture	repo_tracked	external_quality/repo_local/pdf/ocr	p1	Repo-local OCR PDF fixtures owned by the markitdown project; local cache keeps an Apache-2.0 license mirror from the main repository for provenance.	markitdown_repo_pdf_samples	https://github.com/ZSeanYves/markitdown/tree/main/external_quality/repo_local/pdf/ocr	Apache-2.0	external_quality/repo_local/pdf/ocr	repointed from removed main-repo samples to repo_local tracked fixtures
markitdown_repo_office_samples	markitdown_repo_office_samples	docx,xlsx,pptx	tool_fixture	https://github.com/ZSeanYves/markitdown/tree/main/external_quality/repo_local	Apache-2.0	ok	repo_local_regression_fixture	repo_tracked	external_quality/repo_local	p1	Repo-local Office fixtures owned by the markitdown project; local cache keeps an Apache-2.0 license mirror from the main repository for provenance.	markitdown_repo_office_samples	https://github.com/ZSeanYves/markitdown/tree/main/external_quality/repo_local	Apache-2.0	external_quality/repo_local	added to close the formal manifest source_id gap for repo-local Office samples
markitdown_repo_json_samples	markitdown_repo_json_samples	json	tool_fixture	https://github.com/ZSeanYves/markitdown/tree/main/external_main_process/json/markdown	Apache-2.0	ok	repo_local_regression_fixture	repo_tracked	external_main_process/json/markdown	p1	Repo-owned JSON fixtures from external_main_process retained to replace weaker third-party JSON companion samples; covers array-of-objects table lowering, escaped newlines/quotes, and UTF-8 BOM handling under the main repository Apache-2.0 license mirror.	markitdown_repo_json_samples	https://github.com/ZSeanYves/markitdown/tree/main/external_main_process/json/markdown	Apache-2.0	external_main_process/json/markdown	added to replace removed csv-spectrum JSON companion samples with project-owned JSON fixtures
niosh_publications	niosh_publications	pdf	government_public	https://www.cdc.gov/niosh/docs/2023-113/2023-113.pdf	public_domain	ok	external_regression_fixture	existing_checked_in_or_local_reference	external_quality/pdf/niosh	p1	Official CDC/NIOSH PDFs retained for image-heavy and booklet-style regression coverage; local audit note records exact URLs and in-document public-domain / free reprint statements for the retained files.	niosh_publications	https://www.cdc.gov/niosh/docs/2023-113/2023-113.pdf	public_domain	external_quality/pdf/niosh	per-file audit retained at external_quality/pdf/niosh/_audit/PROVENANCE.md
openxml_sdk_tests	openxml_sdk_tests	docx,pptx	tool_fixture	https://github.com/dotnet/Open-XML-SDK	MIT	ok	external_regression_fixture	checked_in_existing	external_quality/pptx/openxml-sdk	p1	MIT Open XML SDK official DOCX and PPTX test assets captured locally for comments, hyperlinks, notes, tab alignment, media references, and animation regression coverage; local cache keeps upstream LICENSE text for provenance.	openxml_sdk_tests	https://github.com/dotnet/Open-XML-SDK	MIT	external_quality/pptx/openxml-sdk	copied from upstream test assets plus LICENSE-openxml-sdk.txt
python_markdown_tests	python_markdown_tests	markdown	tool_fixture	https://github.com/Python-Markdown/markdown/blob/master/tests/extensions/extra/footnote.txt	BSD-3-Clause	ok	external_regression_fixture	checked_in_existing	external_quality/markdown/python-markdown	p1	BSD-3-Clause Python-Markdown test fixtures captured locally for footnote, placeholder, and wrapped-definition regression coverage; local cache keeps upstream LICENSE text for provenance.	python_markdown_tests	https://github.com/Python-Markdown/markdown/blob/master/tests/extensions/extra/footnote.txt	BSD-3-Clause	external_quality/markdown/python-markdown	copied from upstream tests plus LICENSE-Python-Markdown.md
qpdf_tests	qpdf_tests	pdf	tool_fixture	https://github.com/qpdf/qpdf/blob/main/qpdf/qtest/qpdf/link-annots.pdf	Apache-2.0	ok	external_regression_fixture	checked_in_existing	external_quality/pdf/qpdf	p1	Apache-2.0 qpdf official test PDFs captured locally for internal destination links and outline destination regression coverage; local cache keeps upstream LICENSE text for provenance.	qpdf_tests	https://github.com/qpdf/qpdf/blob/main/qpdf/qtest/qpdf/link-annots.pdf	Apache-2.0	external_quality/pdf/qpdf	copied from upstream qpdf/qtest fixtures plus LICENSE-qpdf.txt
pandas_repo_docs	pandas repository README	markdown	public_web	https://github.com/pandas-dev/pandas/blob/main/README.md	BSD-3-Clause	ok	markdown_readme_realworld_reference	checked_in_existing	external_quality/markdown/pandas	p1	BSD-3-Clause pandas README captured locally as a real-world Markdown sample with raw HTML, badge tables, headings, and list blocks	pandas_repo_docs	https://github.com/pandas-dev/pandas/blob/main/README.md	BSD-3-Clause	external_quality/markdown/pandas	captured from upstream README.md
pandas_parser_data	pandas parser test data	jsonl,tsv,txt	tool_fixture	https://github.com/pandas-dev/pandas/tree/main/pandas/tests/io/parser/data	BSD-3-Clause	ok	line_delimited_and_encoding_regression_fixtures	checked_in_existing	external_quality/jsonl/pandas	p1	BSD-3-Clause pandas parser fixtures used for JSONL and UTF-16 text/delimited regression coverage	pandas_parser_data	https://github.com/pandas-dev/pandas/tree/main/pandas/tests/io/parser/data	BSD-3-Clause	external_quality/jsonl/pandas	captured from upstream parser test data; UTF-16 fixture reused for both txt and tsv paths
jsonl_datasets	tinytoolkit jsonl-datasets samples	jsonl	tool_fixture	https://github.com/tinytoolkit-org/jsonl-datasets	CC0-1.0	ok	jsonl_shape_and_nested_record_reference	checked_in_existing	external_quality/jsonl/jsonl-datasets	p1	CC0-1.0 tinytoolkit jsonl-datasets subset captured locally for JSONL external regression coverage; focuses on flat event streams and single-column nested chat-format records	jsonl_datasets	https://github.com/tinytoolkit-org/jsonl-datasets	CC0-1.0	external_quality/jsonl/jsonl-datasets	copied from upstream dataset repo plus LICENSE
jsonlines_tests	jsonlines test fixtures	ndjson	tool_fixture	https://github.com/wbolster/jsonlines/blob/master/tests/test_jsonlines.py	BSD-3-Clause	ok	rfc7464_and_bom_line_delimited_reference	manual_capture	external_quality/ndjson/jsonlines	p1	BSD-3-Clause jsonlines test cases used to derive a minimal RFC7464 plus mid-stream BOM NDJSON fixture	jsonlines_tests	https://github.com/wbolster/jsonlines/blob/master/tests/test_jsonlines.py	BSD-3-Clause	external_quality/ndjson/jsonlines	derived local fixture mirrors upstream BOM and text-sequence cases
