level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	760	240	-1	
2	1	1	0	0	0	48	42	241	143	-1	
3	1	1	1	0	0	48	42	241	143	-1	
4	1	1	1	1	0	51	42	229	23	-1	
5	1	1	1	1	1	51	42	105	23	93.296715	Invoice:
5	1	1	1	1	2	171	42	109	23	91.402702	INV-001
4	1	1	1	2	0	50	102	239	23	-1	
5	1	1	1	2	1	50	102	63	23	95.861687	Due:
5	1	1	1	2	2	126	102	163	23	95.861687	2026-05-22
4	1	1	1	3	0	48	162	208	23	-1	
5	1	1	1	3	1	48	162	117	23	95.630508	Amount:
5	1	1	1	3	2	177	162	79	23	96.841492	42.00
