level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	533	172	-1	
2	1	1	0	0	0	44	40	445	92	-1	
3	1	1	1	0	0	44	40	445	92	-1	
4	1	1	1	1	0	44	40	441	32	-1	
5	1	1	1	1	1	44	40	54	25	83.020187	Left
5	1	1	1	1	2	107	40	36	25	83.020187	A1
5	1	1	1	1	3	363	40	77	32	91.704544	Right
5	1	1	1	1	4	451	40	34	25	87.450134	B1
4	1	1	1	2	0	44	93	445	39	-1	
5	1	1	1	2	1	44	93	54	25	92.109665	Left
5	1	1	1	2	2	107	93	40	25	92.109665	A2
5	1	1	1	2	3	363	100	77	32	93.227280	Right
5	1	1	1	2	4	451	100	38	25	93.227280	B2
