column	column_group	role	availability	non_empty_count	non_zero_count	example_values
sample_id	provenance/source	metadata	present	11123	11123	doclaynet_heldout_3842_51427|doclaynet_heldout_3804_50843|doclaynet_heldout_3813_50951
source_dataset	provenance/source	metadata	present	11123	11123	doclaynet
source_page_id	provenance/source	metadata	present	11123	11123	b37a76240e3dedd1d870d4526c8a9031ab949...|2f4478f13234046bbad5a92068d9dd7b7f9b8...|8ba84c5085b7502b8a253d5ec429690884bfb...
source_region_id	provenance/source	metadata	present	11123	11123	51427|50843|50951
page_no	page position	metadata	present	11123	9516	0|1|2
source_label	provenance/source	metadata	present	11123	11123	Page-header|Section-header|Text
target_label	provenance/source	metadata	present	11123	11123	footer_header_noise|heading|paragraph
split	provenance/source	metadata	present	11123	11123	heldout
text	text shape	metadata	present	11123	11123	Ein Service des Bundesministeriums de...|Table of Contents|10-K 1 a2237254z10-k.htm 10-K QuickLi...
notes	provenance/source	metadata	present	11123	11123	human_annotation_mapped_by_adapter;Us...|human_annotation_mapped_by_adapter;Ke...|human_annotation_mapped_by_adapter;Ma...
bbox_x_norm	bbox geometry	model_feature	present	11123	11123	0.469072|0.024135|0.747106
bbox_y_norm	bbox geometry	model_feature	present	11123	11123	0.013922|0.017009|0.017157
bbox_w_norm	bbox geometry	model_feature	present	11123	11123	0.445226|0.113015|0.526358
bbox_h_norm	bbox geometry	model_feature	present	11123	11123	0.026426|0.010357|0.025752
bbox_area_norm	bbox geometry	model_feature	present	11123	11123	0.011766|0.001171|0.013555
bbox_aspect_ratio	bbox geometry	model_feature	present	11123	11123	16.847816|10.911681|20.439794
near_top	page position	model_feature	present	11123	1401	1|0
near_bottom	page position	model_feature	present	11123	1353	0|1
near_left	page position	model_feature	present	11123	3282	0|1
near_right	page position	model_feature	present	11123	2260	1|0
center_band	page position	model_feature	present	11123	9935	1|0
page_no_norm	page position	model_feature	present	11123	9516	0.000000|0.020000|0.040000
text_missing	text shape	model_feature	present	11123	0	0
text_len	text shape	model_feature	present	11123	11123	132|17|96
word_count	text shape	model_feature	present	11123	11114	21|3|17
avg_word_len	text shape	model_feature	present	11123	11114	5.238095|5.000000|4.529412
digit_ratio	text shape	model_feature	present	11123	6668	0.000000|0.145833|0.600000
upper_ratio	text shape	model_feature	present	11123	10073	0.053030|0.117647|0.052083
lower_ratio	text shape	model_feature	present	11123	10004	0.795455|0.764706|0.604167
