level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	769	152	-1	
2	1	1	0	0	0	43	34	682	84	-1	
3	1	1	1	0	0	43	34	682	84	-1	
4	1	1	1	1	0	45	34	396	32	-1	
5	1	1	1	1	1	45	34	93	32	96.352859	Figure
5	1	1	1	1	2	152	34	22	25	95.702171	1:
5	1	1	1	1	3	187	34	109	32	96.316483	System
5	1	1	1	1	4	308	34	133	25	96.223541	overview
4	1	1	1	2	0	43	86	682	32	-1	
5	1	1	1	2	1	43	86	57	25	96.817909	The
5	1	1	1	2	2	112	86	116	32	96.663696	pipeline
5	1	1	1	2	3	240	86	88	32	96.670326	keeps
5	1	1	1	2	4	340	86	121	32	96.401764	provider
5	1	1	1	2	5	471	86	105	32	96.672470	signals
5	1	1	1	2	6	587	87	138	31	96.313156	separate.
