level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	761	135	-1	
2	1	1	0	0	0	32	28	695	79	-1	
3	1	1	1	0	0	32	28	695	79	-1	
4	1	1	1	1	0	32	28	178	25	-1	
5	1	1	1	1	1	32	28	92	25	96.396988	Vision
5	1	1	1	1	2	137	28	73	25	96.590424	OCR
4	1	1	1	2	0	34	75	693	32	-1	
5	1	1	1	2	1	34	75	123	25	93.079742	MoonBit
5	1	1	1	2	2	168	82	127	18	96.384743	recovers
5	1	1	1	2	3	307	75	89	32	96.715378	layout
5	1	1	1	2	4	405	75	65	25	96.219666	from
5	1	1	1	2	5	483	75	121	32	96.726227	provider
5	1	1	1	2	6	614	75	113	32	96.885872	signals.
