level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	760	240	-1	
2	1	1	0	0	0	49	42	218	143	-1	
3	1	1	1	0	0	49	42	218	143	-1	
4	1	1	1	1	0	50	42	157	23	-1	
5	1	1	1	1	1	50	42	90	23	96.089699	Name:
5	1	1	1	1	2	152	42	55	23	96.550690	Ada
4	1	1	1	2	0	50	102	211	29	-1	
5	1	1	1	2	1	50	102	70	23	96.784134	Role:
5	1	1	1	2	2	134	102	127	29	96.784134	Engineer
4	1	1	1	3	0	49	162	218	23	-1	
5	1	1	1	3	1	49	162	88	23	93.251701	Team:
5	1	1	1	3	2	151	162	116	23	88.647354	MoonBit
