sample_id	split	source_label	target_label	text_preview	caption_prefix_pattern	text_length_bucket	starts_with_enumeration_pattern	enumeration_prefix_kind	titlecase_ratio	uppercase_ratio	ends_with_period	section_number_prefix	short_text_score
doclaynet_heldout_4359_57557	heldout	Caption	caption	MODEL AY11238 40X,100X,400X COMPOUND MONOCULAR	none	medium	0	none	0.0000	0.5870	0	0	0.40
doclaynet_heldout_4359_57558	heldout	Caption	caption	MODEL AY11228 20X,40X STEREO BINOCULAR	none	short	0	none	0.0000	0.6316	0	0	0.75
doclaynet_heldout_4359_57556	heldout	Caption	caption	MODEL AY11240 40X,100X,400X COMPOUND MONOCULAR	none	medium	0	none	0.0000	0.5870	0	0	0.40
doclaynet_heldout_4359_57554	heldout	Caption	caption	MODEL AY11230 20X,40X STEREO TRINOCULAR	none	short	0	none	0.0000	0.6410	0	0	0.75
doclaynet_heldout_4359_57555	heldout	Caption	caption	MODEL AY11232 7X-45X STEREO ZOOM	none	short	0	none	0.0000	0.5938	0	0	0.75
doclaynet_heldout_5022_67065	heldout	Caption	caption	FIG 2	figure_or_image	very_short	0	none	0.0000	0.6000	0	0	1.00
doclaynet_heldout_4359_57552	heldout	Caption	caption	MODEL AY11236 40X,100X,400X,1000X COMPOUND	none	medium	0	none	0.0000	0.4524	0	0	0.40
doclaynet_heldout_4359_57553	heldout	Caption	caption	MODEL AY11234 7X-45X ZOOM STEREO TRINOCULAR	none	medium	0	none	0.0000	0.6744	0	0	0.40
doclaynet_heldout_2693_35827	heldout	Caption	caption	Figure 1: The SMA light curves for 3C 454.3. The open circles represent the 850 µ m observations, and the open triangles represent the 1mm observations.	figure_or_image	long	0	none	0.1154	0.0461	1	0	0.00
doclaynet_heldout_2562_33155	heldout	Caption	caption	FIG. 1: (color online) Locus ( ε ) formed by the apexes of C m all the projectile trajectories (continuous line in blue) given by Eqs. (7) and (8) in rectangula	figure_or_image	very_long	0	none	0.0732	0.0316	0	0	0.00
doclaynet_heldout_2687_35743	heldout	Caption	caption	FIG. 1: Schematics of two spin qubit unit in a DQD consid- ered here. Each spin qubit is represented by a MI. Interaction between qubits is mediated by the two 	figure_or_image	very_long	0	none	0.0462	0.0406	1	0	0.00
doclaynet_heldout_2693_35838	heldout	Caption	caption	Figure 2: Variability index for our sample (top: 1mm, bottom: 850 µ m), with FSRQs as the hatched distribution and BL Lacs as the solid distribution. There is n	figure_or_image	very_long	0	none	0.0755	0.0310	1	0	0.00
doclaynet_heldout_2546_32897	heldout	Caption	caption	FIG. 1. The conventional string breaking: the QCD string spanned between the static quark and the static antiquark Q ¯ breaks due to light ¯ pair creation. Q q 	figure_or_image	long	0	none	0.0357	0.0559	0	0	0.00
doclaynet_heldout_2736_36677	heldout	Caption	caption	Table I VERITAS AGN Detections. The only non-blazar object is the radio galaxy M 87. The blazars discovered at VHE by VERITAS are marked with a dagger.	table	long	0	none	0.1429	0.1722	1	0	0.00
doclaynet_heldout_2536_32714	heldout	Caption	caption	TABLE I: Contributions of the system factor, ζ , and of ab,ba the overlap between transition frequency and phonon bath spectral properties, C ( ω ), to the calc	table	very_long	0	none	0.0600	0.0336	1	0	0.00
doclaynet_heldout_2607_34027	heldout	Caption	caption	TABLE I: Correspondence between physical spin operators and pseudo-spin operators in the physical spin singlet sector of the four antiferromagnetically coupled 	table	very_long	0	none	0.0333	0.0350	1	0	0.00
doclaynet_heldout_2477_31557	heldout	Caption	caption	TABLE I: dx /dA , dy /dA , and d (ln J ) /dA are expressed as sums of terms in 1 / ( D D ), 1 / ( D D ), and 1 / ( D D ). − − − 1 2 2 3 3 1 i i	table	long	0	none	0.0000	0.1119	0	0	0.00
doclaynet_heldout_2646_34905	heldout	Caption	caption	FIG. 1: Communication protocol: a qubit passes through an Ising spin-star channel. This is repeated in parallel over many identical such channels.	figure_or_image	long	0	none	0.1304	0.0411	1	0	0.00
doclaynet_heldout_2729_36534	heldout	Caption	caption	Fig. 4. Measured enhancements of the excitation and emission intensity for spheres with a radius of (a) R = 80 nm and (b) R = 150 nm. The solid lines indicate t	figure_or_image	very_long	0	none	0.0545	0.0153	1	0	0.00
doclaynet_heldout_2557_33048	heldout	Caption	caption	FIG. 2: (color online) The angle θ as a function of the launch angle α for two different values of ε and their inverses.	figure_or_image	long	0	none	0.0476	0.0333	1	0	0.00
doclaynet_heldout_2557_33049	heldout	Caption	caption	FI G. 3: (color online) (a) First and (b) second derivatives of α as function of θ for various values of parameter ε . Note that major changes occur for θ < π/ 	none	long	0	none	0.0741	0.0309	1	0	0.00
doclaynet_heldout_2483_31678	heldout	Caption	caption	FIG. 2: (color online) The spectral density at the Fermi sur- face, ( ), as given by Eqs. (7) and (9) at and A$_{ω}$$_{=0}$ k$_{y}$ > k$_{x}$ k respectively. Th	figure_or_image	very_long	0	none	0.0806	0.0279	1	0	0.00
doclaynet_heldout_2608_34073	heldout	Caption	caption	FIG. 2. The (partial) breaking of the QCD string in the back- ground magnetic field. The distance between created quark and antiquark ¯ is restricted by the mag	figure_or_image	very_long	0	none	0.0714	0.0369	1	0	0.00
doclaynet_heldout_2658_35131	heldout	Caption	caption	FIG. 5: (Color online) RDF obtained from MC simulations (diamond), BIMSA3 (solid line), and MSA-fit (dot dashed) at two concentrations.	figure_or_image	long	0	none	0.0476	0.1259	1	0	0.00
doclaynet_heldout_2501_32033	heldout	Caption	caption	FIG. 4: (color online) Curvature of ( ε ) using the polar C m angle as the parameter from Eq. (19). In red line appears the corresponding result for the ellipse	figure_or_image	very_long	0	none	0.1064	0.0332	1	0	0.00
doclaynet_heldout_2715_36312	heldout	Caption	caption	FIG. 3: (color online) Graphical representation of the self- energy correction of the order 2 in coupling constant, n Eq. (16). Solid vertical and horizontal li	figure_or_image	very_long	0	none	0.0513	0.0145	0	0	0.00
doclaynet_heldout_522_6409	heldout	Caption	caption	Stephen Gerlach Chairman 21 March 2005	none	short	0	none	0.6667	0.1053	0	0	0.75
doclaynet_heldout_4018_53713	heldout	Caption	caption	Fig. 1- Coarse Adjustment Knob	figure_or_image	short	0	none	0.8000	0.1333	0	0	0.75
doclaynet_heldout_543_6616	heldout	Caption	caption	Harris W. Hudson 1 Vice Chairman of the Board	none	medium	0	none	0.5556	0.1333	0	0	0.40
doclaynet_heldout_543_6615	heldout	Caption	caption	John W. Croghan 2, 3, 4 Chairman, Nominating and Corporate Governance Committee Chairman, Rail-Splitter Capital Management, LLC (an investment management firm)	none	long	0	none	0.5455	0.1006	0	0	0.00
doclaynet_heldout_543_6617	heldout	Caption	caption	James E. O’Connor 1 Chairman & Chief Executive Officer	none	medium	0	none	0.6667	0.1481	0	0	0.40
doclaynet_heldout_2639_34754	heldout	Caption	caption	n = 155 R = 0 . 4 Fig. 3. FER results on the , , Tanner code	none	medium	0	none	0.1538	0.1000	0	0	0.00
doclaynet_heldout_2639_34752	heldout	Caption	caption	n = 4085 R = 0 . 82 Fig. 5. FER results on the , , MacKay code	none	medium	0	none	0.0769	0.1129	0	0	0.00
doclaynet_heldout_1825_25437	heldout	Caption	caption	TABLE I LANGUAGE VOCABULARY SIZE	table	short	0	none	0.0000	0.8750	0	0	0.75
doclaynet_heldout_2730_36553	heldout	Caption	caption	FIG. 1: The infinitesimal LLT for a Kerr-Newman black hole with parameters M = 1000, a = 0 . 8 M , Q = 0 . 2 M and v = 0 . 3 , 0 . 5 , 0 . 7 and 0 . 9 for the b	figure_or_image	very_long	0	none	0.0682	0.0602	1	0	0.00
doclaynet_heldout_543_6620	heldout	Caption	caption	Allan C. Sorensen 2, 3, 4 Presiding Director President & Chief Executive Officer Interim Health Care, Inc. (a provider of temporary labor to the healthcare indu	none	long	0	none	0.4800	0.0788	0	0	0.00
doclaynet_heldout_543_6618	heldout	Caption	caption	W. Lee Nutter 2, 3, 4 Chairman, Compensation Committee Chairman, President & Chief Executive Officer Rayonier, Inc. (a forest products company)	none	long	1	alpha	0.6000	0.0909	0	1	0.00
doclaynet_heldout_543_6619	heldout	Caption	caption	Ramon A. Rodriguez 2, 3, 4 Chairman, Audit Committee President & Chief Executive Officer Madsen, Sapp, Mena, Rodriguez & Co. (a public accounting firm)	none	long	0	none	0.6364	0.0993	0	0	0.00
doclaynet_heldout_543_6621	heldout	Caption	caption	Michael W. Wickham 2, 3, 4 Retired Chairman, President & Chief Executive Officer, Roadway Corporation	none	medium	0	none	0.7143	0.1089	0	0	0.00
doclaynet_heldout_2626_34452	heldout	Caption	caption	FIG. 8: XTEJ1752-223 light curve. Horizontal scale is in modified Julian days.	figure_or_image	medium	0	none	0.1538	0.1154	1	0	0.00
doclaynet_heldout_2639_34753	heldout	Caption	caption	n = 768 R = 0 . 75 Fig. 4. FER results on the , , Quasicyclic code	none	medium	0	none	0.1538	0.0909	0	0	0.00
doclaynet_heldout_1094_14317	heldout	Caption	caption	Gavin Thomas Managing Director and CEO	none	short	0	none	0.6667	0.1842	0	0	0.75
doclaynet_heldout_2730_36571	heldout	Caption	caption	FIG. 3: The EPR setup in the Kerr-Newman space- time. Gray circles are the observers and the gray square is the EPR source.	figure_or_image	long	0	none	0.1667	0.1057	1	0	0.00
doclaynet_heldout_2481_31660	heldout	Caption	caption	C$_{E}$ = 1 + Q Q$_{E}$ = C$_{E}$/ 2 FIG. 2: Capacities (solid, thick), (solid, Q thin) and (dashed) of qubit coupled to an Ising spin bath with N = 4 g$_{n}$ Ω	none	very_long	0	none	0.0870	0.0688	1	0	0.00
doclaynet_heldout_1825_25436	heldout	Caption	caption	TABLE II TWITTER DATA COLLECTION EXPERIMENT RESULTS	table	medium	0	none	0.0000	0.8824	0	0	0.40
doclaynet_heldout_558_6868	heldout	Caption	caption	Carlos Ghosn President and Chief Executive Officer	none	medium	0	none	0.8571	0.1200	0	0	0.40
doclaynet_heldout_1287_17233	heldout	Caption	caption	M IKE HANNELL Chairman	none	short	0	none	0.2500	0.5455	0	0	0.75
doclaynet_heldout_2481_31661	heldout	Caption	caption	N = 100 FIG. 3: Same as Fig. 2, with .	none	medium	0	none	0.2222	0.1579	1	0	0.40
doclaynet_heldout_311_3924	heldout	Caption	caption	James R. Houghton Chairman and Chief Executive Officer	none	medium	0	none	0.7500	0.1296	0	0	0.40
doclaynet_heldout_2643_34858	heldout	Caption	caption	FIG. 5: The shifted Fermi sphere (left) and the two-Fermi radii (right) occupations in 2DEG. The occupied states are shown as filled areas, have both identical 	figure_or_image	long	0	none	0.1026	0.0427	1	0	0.00
doclaynet_heldout_4576_60110	heldout	List-item	list_item	[51] Int. Cl.	none	short	0	none	0.6667	0.1538	1	0	0.75
doclaynet_heldout_4823_64112	heldout	List-item	list_item	(11) SRA eS	none	short	1	decimal	0.0000	0.3636	0	1	0.75
doclaynet_heldout_4827_64168	heldout	List-item	list_item	(51) 。Int. Cl. C07D471/04(2006.01)	none	medium	1	decimal	0.2857	0.1176	0	1	0.40
doclaynet_heldout_4827_64161	heldout	List-item	list_item	(45) 공고일자 2007년02월08일	none	short	1	decimal	0.0000	0.0000	0	1	0.75
